index,exposure_id,exp_createdate,exp_claim_id,exp_lossparty,exp_coverage_id,exp_incident_id,exp_vehicle_id,exp_group,exp_type,exp_closedate,exp_status,exp_resolution
34,EXP01-10002,2018-11-10,CLM01-1001555,Thirdparty,COV01-1000002,INC01-100034,B3CBC6433E4E4C0F,Injury-Compound,BI,,Open,Reported in siu
35,EXP01-10004,2018-12-28,CLM01-1009401,Insured,COV01-1000002,INC01-100035,C355D4DC095F44EA,Physical,COL,,Open,Closed without payment
36,EXP01-10003,2018-02-26,CLM01-1009312,Thirdparty,COV01-1000002,INC01-100036,E4771F82E5A742A2,Injury-Compound,COMP,,Open,Rejected
37,EXP01-10001,2018-08-08,CLM01-1008129,Insured,COV01-1000002,INC01-100037,7855F23DBF01444B,houseowners compound,GLASS,2018-08-15,Closed,Closed with payments
38,EXP01-10003,2019-01-29,CLM01-1002260,Thirdparty,COV01-1000002,INC01-100038,396A2B7620F24F25,Fire/Theft,COMP,,Open,Closed without payment
39,EXP01-10003,2018-05-14,CLM01-1000607,Thirdparty,COV01-1000001,INC01-100039,E913234EA7B94F2A,Subrogation,COMP,2018-06-10,Closed,Reported in siu
40,EXP01-10004,2018-09-14,CLM01-1005192,Thirdparty,COV01-1000001,INC01-100040,52DF5C5E974B4360,houseowners Low Compound,COL,2018-10-08,Closed,Reported in siu
41,EXP01-10002,2018-05-08,CLM01-1000081,Thirdparty,COV01-1000002,INC01-100041,680741C33EB24196,FastTrack,BI,2018-06-09,Closed,Closed with payments
42,EXP01-10003,2018-09-16,CLM01-1008161,Thirdparty,COV01-1000002,INC01-100042,00190E167C084B93,Analyst Vendor IPD,COMP,2018-10-10,Closed,Closed without payment
43,EXP01-10005,2018-05-14,CLM01-1000262,Insured,COV01-1000002,INC01-100043,22F1BA84BB2349DF,Fire/Theft,PD,,Open,Closed with payments
44,EXP01-10001,2018-11-17,CLM01-1003984,Insured,COV01-1000002,INC01-100044,0184DF27E1A94A02,Tow,GLASS,,Open,Closed without payment
45,EXP01-10001,2019-01-17,CLM01-1009020,Thirdparty,COV01-1000002,INC01-100045,04D96E021325476A,FastTrack,GLASS,2019-01-27,Closed,Closed with payments
46,EXP01-10005,2018-06-22,CLM01-1000260,Insured,COV01-1000004,INC01-100046,D5CF5467CE714AE9,Analyst Vendor IPD,PD,,Open,Reported in siu
47,EXP01-10004,2018-02-23,CLM01-1002243,Insured,COV01-1000001,INC01-100047,9B862FDB5F06489E,houseowners Low Compound,COL,2018-03-22,Closed,Rejected
48,EXP01-10001,2018-08-04,CLM01-1002365,Thirdparty,COV01-1000002,INC01-100048,456F0BF060E14DDC,FastTrack,GLASS,,Open,Reported in siu
49,EXP01-10003,2018-05-28,CLM01-1001995,Insured,COV01-1000002,INC01-100049,0574A4CA06D14789,Injury-Compound,COMP,2018-06-27,Closed,Rejected
50,EXP01-10003,2018-05-12,CLM01-1007480,Insured,COV01-1000005,INC01-100050,D95A591100C44A7D,Tow,COMP,2018-06-12,Closed,Closed with payments
51,EXP01-10003,2018-03-12,CLM01-1010434,Thirdparty,COV01-1000001,INC01-100051,27445378A60141C4,Salvage,COMP,2018-04-13,Closed,Closed with payments
52,EXP01-10005,2018-02-27,CLM01-1010356,Thirdparty,COV01-1000002,INC01-100052,6EFEB142E4B04E1A,General,PD,2018-03-29,Closed,Rejected
53,EXP01-10004,2019-01-07,CLM01-1007828,Insured,COV01-1000001,INC01-100053,4C67904BFEE548CC,FastTrack,COL,,Open,Closed with payments
54,EXP01-10001,2018-03-18,CLM01-1001599,Thirdparty,COV01-1000002,INC01-100054,B50F67F3998F4681,FastTrack,GLASS,,Open,Reported in siu
55,EXP01-10005,2018-02-21,CLM01-1008211,Insured,COV01-1000002,INC01-100055,37F441802270468F,Subrogation,PD,2018-03-25,Closed,Reported in siu
56,EXP01-10003,2018-04-21,CLM01-1003506,Insured,COV01-1000002,INC01-100056,8520483134294F0B,Glass,COMP,2018-05-16,Closed,Reported in siu
57,EXP01-10005,2018-10-02,CLM01-1002822,Insured,COV01-1000001,INC01-100057,DC305F74AFC84B0A,Glass,PD,2018-10-28,Closed,Closed without payment
58,EXP01-10003,2018-04-14,CLM01-1005714,Insured,COV01-1000001,INC01-100058,076BEA10632E4F29,Medical Claims,COMP,2018-05-10,Closed,Rejected
59,EXP01-10005,2018-10-05,CLM01-1009067,Thirdparty,COV01-1000002,INC01-100059,8AB8647B98594A67,Glass,PD,2018-11-03,Closed,Duplicate
60,EXP01-10001,2018-07-23,CLM01-1006615,Insured,COV01-1000002,INC01-100060,A7FB4F3F88044564,General,GLASS,2018-07-26,Closed,Closed without payment
61,EXP01-10005,2018-05-02,CLM01-1010930,Thirdparty,COV01-1000002,INC01-100061,1B611C6D47F8422D,Total Loss,PD,2018-06-04,Closed,Reported in siu
62,EXP01-10002,2018-05-01,CLM01-1009047,Thirdparty,COV01-1000001,INC01-100062,33A7E5FE14E14656,Total Loss,BI,2018-06-04,Closed,Duplicate
63,EXP01-10005,2018-12-06,CLM01-1005144,Insured,COV01-1000001,INC01-100063,E21C7ED89E2148BA,Injury-Compound,PD,,Open,Rejected
64,EXP01-10004,2018-07-04,CLM01-1007590,Insured,COV01-1000002,INC01-100064,C4EDDECFD2DC40B4,Physical,COL,2018-08-02,Closed,Rejected
65,EXP01-10004,2018-10-22,CLM01-1005522,Insured,COV01-1000001,INC01-100065,BE6F844582DD4340,General,COL,,Open,Duplicate
66,EXP01-10004,2018-11-03,CLM01-1006455,Insured,COV01-1000001,INC01-100066,A7F0B52C9D044A22,Total Loss,COL,,Open,Reported in siu
67,EXP01-10004,2018-08-11,CLM01-1007810,Insured,COV01-1000002,INC01-100067,A73EC13B93534F05,FastTrack,COL,2018-09-07,Closed,Closed without payment
68,EXP01-10005,2018-11-17,CLM01-1009949,Thirdparty,COV01-1000001,INC01-100068,9F8814DF33934D7C,houseowners compound,PD,,Open,Duplicate
69,EXP01-10005,2018-04-14,CLM01-1007299,Insured,COV01-1000003,INC01-100069,30CB7E74D51949C1,Salvage,PD,2018-05-14,Closed,Closed with payments
70,EXP01-10002,2018-03-30,CLM01-1006030,Thirdparty,COV01-1000002,INC01-100070,8E6699080DE745AB,Glass,BI,2018-05-02,Closed,Closed with payments
71,EXP01-10005,2018-03-11,CLM01-1007091,Thirdparty,COV01-1000002,INC01-100071,B1513292D3704ECE,Salvage,PD,2018-04-06,Closed,Reported in siu
72,EXP01-10002,2018-09-15,CLM01-1001513,Insured,COV01-1000002,INC01-100072,079755AED71548EB,FastTrack,BI,2018-10-15,Closed,Closed without payment
73,EXP01-10002,2018-12-17,CLM01-1001415,Insured,COV01-1000002,INC01-100073,D67E23AC824C48A3,Physical,BI,,Open,Rejected
74,EXP01-10003,2018-08-22,CLM01-1008649,Insured,COV01-1000002,INC01-100074,A9F8985372214A4E,Injury-Compound,COMP,2018-09-18,Closed,Closed without payment
75,EXP01-10003,2018-07-02,CLM01-1006704,Insured,COV01-1000001,INC01-100075,22A26D18BD8D4030,houseowners Low Compound,COMP,2018-07-29,Closed,Duplicate
76,EXP01-10002,2018-07-27,CLM01-1007310,Insured,COV01-1000002,INC01-100076,CF1DF0F1816D49FC,Tow,BI,2018-08-25,Closed,Duplicate
77,EXP01-10002,2019-01-13,CLM01-1005837,Insured,COV01-1000001,INC01-100077,95232766E7FE4E79,Salvage,BI,,Open,Reported in siu
78,EXP01-10002,2018-07-29,CLM01-1000079,Insured,COV01-1000002,INC01-100078,6D46B55A46DB468C,Medical Claims,BI,2018-08-24,Closed,Closed with payments
79,EXP01-10002,2018-05-04,CLM01-1004632,Insured,COV01-1000002,INC01-100079,02828B1BE06240DB,houseowners compound,BI,2018-06-01,Closed,Duplicate
80,EXP01-10005,2018-06-15,CLM01-1000018,Thirdparty,COV01-1000002,INC01-100080,77BCD73AA0FA499C,Total Loss,PD,2018-07-16,Closed,Closed without payment
81,EXP01-10003,2018-06-25,CLM01-1003000,Insured,COV01-1000002,INC01-100081,5DDF859E1C6C44EF,Analyst Vendor IPD,COMP,,Open,Closed without payment
82,EXP01-10002,2018-12-22,CLM01-1006375,Insured,COV01-1000001,INC01-100082,15278F9980E04237,Glass,BI,,Open,Duplicate
83,EXP01-10001,2018-08-31,CLM01-1004176,Insured,COV01-1000002,INC01-100083,D0CDB955C22841FA,houseowners Low Compound,GLASS,2018-09-07,Closed,Closed with payments
84,EXP01-10004,2019-01-07,CLM01-1004503,Insured,COV01-1000002,INC01-100084,62E94048AB034B8A,Tow,COL,2019-02-02,Closed,Duplicate
85,EXP01-10003,2018-04-13,CLM01-1002905,Insured,COV01-1000002,INC01-100085,5B8DBED4C0C442C4,Salvage,COMP,2018-05-12,Closed,Duplicate
86,EXP01-10005,2018-01-12,CLM01-1006534,Insured,COV01-1000002,INC01-100086,4F450BB9996E445B,Injury-Compound,PD,2018-02-14,Closed,Reported in siu
87,EXP01-10004,2018-04-23,CLM01-1003367,Insured,COV01-1000001,INC01-100087,39AEAF8C0897403B,Total Loss,COL,2018-05-18,Closed,Duplicate
88,EXP01-10002,2018-09-22,CLM01-1004120,Thirdparty,COV01-1000002,INC01-100088,FED50DEC0F814153,Subrogation,BI,2018-10-16,Closed,Reported in siu
89,EXP01-10003,2018-09-27,CLM01-1000189,Insured,COV01-1000002,INC01-100089,C980B4C3E0624DF2,Injury,COMP,,Open,Reported in siu
90,EXP01-10004,2018-12-29,CLM01-1008254,Insured,COV01-1000001,INC01-100090,6AAAC3DB7D4F4DB3,Tow,COL,,Open,Closed with payments
91,EXP01-10002,2018-03-21,CLM01-1004767,Insured,COV01-1000001,INC01-100091,38AC0F6DFD6949C0,houseowners compound,BI,2018-04-15,Closed,Duplicate
92,EXP01-10001,2018-11-07,CLM01-1006136,Insured,COV01-1000001,INC01-100092,B59D7F0C08834A58,Total Loss,GLASS,,Open,Duplicate
93,EXP01-10001,2018-07-12,CLM01-1004512,Thirdparty,COV01-1000002,INC01-100093,CBB7383C32A64607,Injury,GLASS,2018-07-21,Closed,Reported in siu
94,EXP01-10001,2018-01-23,CLM01-1009146,Thirdparty,COV01-1000001,INC01-100094,4097A3E6B4734883,houseowners compound,GLASS,2018-02-01,Closed,Reported in siu
95,EXP01-10001,2018-10-19,CLM01-1002690,Insured,COV01-1000004,INC01-100095,971F94AB39554CAE,Total Loss,GLASS,2018-10-25,Closed,Rejected
96,EXP01-10003,2018-03-06,CLM01-1008135,Insured,COV01-1000001,INC01-100096,56D831C5F1A647D9,Salvage,COMP,2018-04-03,Closed,Closed with payments
97,EXP01-10003,2018-07-10,CLM01-1008384,Insured,COV01-1000003,INC01-100097,31515D75A54C4944,Injury,COMP,,Open,Rejected
98,EXP01-10003,2018-09-07,CLM01-1008393,Thirdparty,COV01-1000002,INC01-100098,119D719E1B474D00,Medical Claims,COMP,,Open,Closed without payment
99,EXP01-10004,2018-04-08,CLM01-1004797,Insured,COV01-1000001,INC01-100099,EF2B86455CBC40A0,houseowners compound,COL,2018-05-02,Closed,Closed without payment
100,EXP01-10005,2018-04-25,CLM01-1004800,Insured,COV01-1000002,INC01-100100,E99A351FE18842EE,Injury,PD,2018-05-24,Closed,Rejected
101,EXP01-10002,2018-07-25,CLM01-1004092,Thirdparty,COV01-1000001,INC01-100101,797E6B0A0AFD4ED5,Subrogation,BI,2018-08-25,Closed,Closed with payments
102,EXP01-10001,2018-06-01,CLM01-1010145,Insured,COV01-1000001,INC01-100102,24D23E9F28AE4E27,Injury,GLASS,2018-06-06,Closed,Closed with payments
103,EXP01-10003,2018-05-29,CLM01-1005390,Insured,COV01-1000004,INC01-100103,6A9EC34C690141D9,Salvage,COMP,2018-06-26,Closed,Rejected
104,EXP01-10001,2018-01-13,CLM01-1002872,Insured,COV01-1000002,INC01-100104,AED40ADB7A724562,Glass,GLASS,,Open,Rejected
105,EXP01-10005,2018-05-01,CLM01-1006101,Thirdparty,COV01-1000002,INC01-100105,A3AC579E143542E3,FastTrack,PD,2018-05-29,Closed,Reported in siu
106,EXP01-10005,2018-02-15,CLM01-1010306,Thirdparty,COV01-1000001,INC01-100106,1497A4F565104A52,FastTrack,PD,2018-03-19,Closed,Reported in siu
107,EXP01-10001,2018-05-29,CLM01-1003281,Insured,COV01-1000001,INC01-100107,1B6126CD7ECD40A4,Tow,GLASS,2018-06-12,Closed,Reported in siu
108,EXP01-10005,2018-10-16,CLM01-1002322,Thirdparty,COV01-1000001,INC01-100108,6A2DD4BDC5F040A0,houseowners Low Compound,PD,,Open,Rejected
109,EXP01-10005,2018-12-18,CLM01-1004376,Thirdparty,COV01-1000001,INC01-100109,0E488F94CDFE4247,Injury-Compound,PD,,Open,Rejected
110,EXP01-10004,2019-01-17,CLM01-1003512,Insured,COV01-1000001,INC01-100110,5BB70C9BCD7249D2,Fire/Theft,COL,,Open,Reported in siu
111,EXP01-10002,2018-11-10,CLM01-1003419,Insured,COV01-1000004,INC01-100111,E7D8904CC29D41BB,Glass,BI,,Open,Duplicate
112,EXP01-10001,2018-02-03,CLM01-1006011,Insured,COV01-1000001,INC01-100112,D2FA2D5190A64753,houseowners compound,GLASS,2018-02-12,Closed,Duplicate
113,EXP01-10005,2018-03-14,CLM01-1010432,Insured,COV01-1000001,INC01-100113,781D0255951D4C9E,Analyst Vendor IPD,PD,2018-04-09,Closed,Rejected
114,EXP01-10003,2018-10-23,CLM01-1008373,Insured,COV01-1000002,INC01-100114,4225A25229474784,Injury-Compound,COMP,2018-11-17,Closed,Closed with payments
115,EXP01-10001,2018-10-19,CLM01-1005384,Insured,COV01-1000001,INC01-100115,887133A742914007,Subrogation,GLASS,,Open,Reported in siu
116,EXP01-10002,2018-10-17,CLM01-1000532,Insured,COV01-1000002,INC01-100116,07DC7B01D4C94140,General,BI,2018-11-16,Closed,Rejected
117,EXP01-10004,2018-06-11,CLM01-1010149,Insured,COV01-1000002,INC01-100117,A947B35E7C744C97,Injury,COL,2018-07-10,Closed,Closed without payment
118,EXP01-10004,2018-08-04,CLM01-1004098,Insured,COV01-1000002,INC01-100118,7921BBDEA77447D8,Salvage,COL,,Open,Closed without payment
119,EXP01-10004,2018-03-06,CLM01-1006933,Insured,COV01-1000002,INC01-100119,4B1EAA0FBEBA439C,Total Loss,COL,2018-04-04,Closed,Closed with payments
120,EXP01-10003,2018-08-09,CLM01-1005524,Insured,COV01-1000001,INC01-100120,E25C2AA1B7304C4C,Tow,COMP,2018-09-04,Closed,Duplicate
121,EXP01-10001,2018-08-24,CLM01-1009694,Insured,COV01-1000002,INC01-100121,7D1368E0A5D74C72,Analyst Vendor IPD,GLASS,2018-08-30,Closed,Closed with payments
122,EXP01-10004,2018-01-11,CLM01-1004124,Insured,COV01-1000001,INC01-100122,6932554394A54EC3,Subrogation,COL,2018-02-09,Closed,Duplicate
123,EXP01-10002,2018-06-24,CLM01-1000209,Thirdparty,COV01-1000005,INC01-100123,7B21E11CE4474440,Subrogation,BI,2018-07-25,Closed,Closed without payment
124,EXP01-10004,2018-11-28,CLM01-1008039,Insured,COV01-1000002,INC01-100124,8FB475AA35334043,Medical Claims,COL,,Open,Closed with payments
125,EXP01-10003,2018-08-01,CLM01-1004259,Insured,COV01-1000005,INC01-100125,42B2FE4367844448,General,COMP,2018-09-01,Closed,Closed without payment
126,EXP01-10002,2018-05-02,CLM01-1005935,Thirdparty,COV01-1000004,INC01-100126,56BBDF09D0524EC3,Total Loss,BI,2018-05-30,Closed,Closed without payment
127,EXP01-10005,2018-05-20,CLM01-1010969,Thirdparty,COV01-1000002,INC01-100127,02542668150B4941,Analyst Vendor IPD,PD,2018-06-18,Closed,Closed with payments
128,EXP01-10002,2019-01-18,CLM01-1004292,Thirdparty,COV01-1000005,INC01-100128,087FFA10682C443C,Injury,BI,,Open,Closed with payments
129,EXP01-10001,2018-06-02,CLM01-1006508,Insured,COV01-1000002,INC01-100129,0498AC1950164A58,Injury,GLASS,2018-06-16,Closed,Closed with payments
130,EXP01-10003,2018-11-12,CLM01-1006022,Thirdparty,COV01-1000002,INC01-100130,0F49433C023D4797,Injury-Compound,COMP,,Open,Rejected
131,EXP01-10003,2018-10-04,CLM01-1007250,Insured,COV01-1000003,INC01-100131,C64002355A214996,Analyst Vendor IPD,COMP,2018-11-01,Closed,Rejected
132,EXP01-10002,2018-06-18,CLM01-1003203,Insured,COV01-1000001,INC01-100132,1E7EA9CF5CE44C11,Glass,BI,2018-07-20,Closed,Closed with payments
133,EXP01-10001,2018-05-19,CLM01-1008750,Insured,COV01-1000002,INC01-100133,4BDD8B680BCF4660,Analyst Vendor IPD,GLASS,2018-05-25,Closed,Duplicate
134,EXP01-10004,2018-08-17,CLM01-1002529,Thirdparty,COV01-1000001,INC01-100134,A218529092C44B91,houseowners Low Compound,COL,2018-09-14,Closed,Rejected
135,EXP01-10004,2018-09-22,CLM01-1008633,Thirdparty,COV01-1000001,INC01-100135,64AC11B241564B1D,Tow,COL,2018-10-18,Closed,Reported in siu
136,EXP01-10003,2018-03-20,CLM01-1008447,Thirdparty,COV01-1000003,INC01-100136,5531E2DE9CED4F0E,Total Loss,COMP,2018-04-13,Closed,Closed without payment
137,EXP01-10005,2018-07-12,CLM01-1007754,Thirdparty,COV01-1000002,INC01-100137,E60D4D59FED44B37,Fire/Theft,PD,2018-08-12,Closed,Reported in siu
138,EXP01-10003,2018-01-27,CLM01-1009555,Insured,COV01-1000005,INC01-100138,5EA374D798144D1A,Injury-Compound,COMP,,Open,Closed without payment
139,EXP01-10003,2018-03-10,CLM01-1003133,Insured,COV01-1000002,INC01-100139,E21E2386DC914592,Tow,COMP,,Open,Duplicate
140,EXP01-10001,2018-09-06,CLM01-1008837,Thirdparty,COV01-1000001,INC01-100140,E3A1DBBDE53F4927,Total Loss,GLASS,,Open,Closed with payments
141,EXP01-10005,2018-01-29,CLM01-1004568,Insured,COV01-1000002,INC01-100141,635C97B0D3C446EE,Salvage,PD,2018-02-21,Closed,Closed with payments
142,EXP01-10001,2018-09-12,CLM01-1010311,Insured,COV01-1000002,INC01-100142,7669DCD7083C4F40,Fire/Theft,GLASS,2018-09-22,Closed,Closed without payment
143,EXP01-10004,2018-11-05,CLM01-1006668,Insured,COV01-1000002,INC01-100143,8FEA68B3F3414325,Analyst Vendor IPD,COL,2018-12-04,Closed,Reported in siu
144,EXP01-10001,2018-06-27,CLM01-1002926,Insured,COV01-1000001,INC01-100144,4502B8DF194F4A6F,Total Loss,GLASS,2018-07-03,Closed,Closed with payments
145,EXP01-10005,2019-01-17,CLM01-1005095,Insured,COV01-1000001,INC01-100145,C3CFADE3CA934311,FastTrack,PD,,Open,Duplicate
146,EXP01-10001,2018-09-13,CLM01-1000990,Insured,COV01-1000002,INC01-100146,496A0325704C4A76,houseowners compound,GLASS,2018-09-19,Closed,Closed with payments
147,EXP01-10002,2018-01-28,CLM01-1000479,Insured,COV01-1000001,INC01-100147,B99F8F8C0FD344E5,Injury-Compound,BI,,Open,Rejected
148,EXP01-10005,2018-12-30,CLM01-1002645,Thirdparty,COV01-1000001,INC01-100148,6A5F6FF2FC0B4537,houseowners Low Compound,PD,,Open,Rejected
149,EXP01-10003,2018-07-05,CLM01-1004897,Insured,COV01-1000005,INC01-100149,5FE1688210274CEB,Injury,COMP,,Open,Rejected
150,EXP01-10004,2018-08-20,CLM01-1005800,Insured,COV01-1000005,INC01-100150,4E417682A1DB4976,Analyst Vendor IPD,COL,2018-09-14,Closed,Duplicate
151,EXP01-10005,2018-04-14,CLM01-1007869,Insured,COV01-1000002,INC01-100151,9509B7A3DEDF4B61,Injury,PD,2018-05-16,Closed,Closed without payment
152,EXP01-10005,2018-01-10,CLM01-1003412,Insured,COV01-1000001,INC01-100152,0C1DF58456104ED5,General,PD,2018-02-08,Closed,Reported in siu
153,EXP01-10005,2018-11-18,CLM01-1001512,Thirdparty,COV01-1000003,INC01-100153,5B0F774063264BD6,FastTrack,PD,,Open,Closed without payment
154,EXP01-10001,2018-06-24,CLM01-1010400,Thirdparty,COV01-1000001,INC01-100154,FD0776A1AA51433B,General,GLASS,2018-07-07,Closed,Closed with payments
155,EXP01-10005,2018-08-10,CLM01-1007094,Insured,COV01-1000001,INC01-100155,E5202917D12147DA,Fire/Theft,PD,2018-09-05,Closed,Duplicate
156,EXP01-10005,2018-10-30,CLM01-1002453,Insured,COV01-1000002,INC01-100156,FC8DAB39320E4E1F,Analyst Vendor IPD,PD,,Open,Closed with payments
157,EXP01-10005,2018-12-26,CLM01-1006189,Insured,COV01-1000002,INC01-100157,7159DFFF6CF84AE6,Total Loss,PD,,Open,Rejected
158,EXP01-10005,2018-01-21,CLM01-1005181,Thirdparty,COV01-1000002,INC01-100158,EABD1BE76AF74755,Analyst Vendor IPD,PD,2018-02-23,Closed,Rejected
159,EXP01-10005,2018-01-31,CLM01-1006077,Insured,COV01-1000002,INC01-100159,79A4A3BB4AA84833,Injury-Compound,PD,2018-03-01,Closed,Duplicate
160,EXP01-10002,2018-01-29,CLM01-1004781,Insured,COV01-1000001,INC01-100160,D82CC86EFB1A4E2B,Salvage,BI,2018-02-22,Closed,Closed with payments
161,EXP01-10001,2018-12-23,CLM01-1005370,Insured,COV01-1000001,INC01-100161,C6FBC10F1FFA4FD3,General,GLASS,,Open,Duplicate
162,EXP01-10003,2018-05-10,CLM01-1007480,Thirdparty,COV01-1000001,INC01-100162,C1BE7CB34BAF49EE,Tow,COMP,2018-06-10,Closed,Closed with payments
163,EXP01-10005,2018-07-22,CLM01-1005026,Thirdparty,COV01-1000002,INC01-100163,EC2DB4ACE1FC4255,Analyst Vendor IPD,PD,2018-08-14,Closed,Duplicate
164,EXP01-10001,2018-02-21,CLM01-1005005,Thirdparty,COV01-1000002,INC01-100164,579AF123ECDC4919,Subrogation,GLASS,,Open,Closed with payments
165,EXP01-10003,2018-03-07,CLM01-1007424,Thirdparty,COV01-1000001,INC01-100165,9E8B86722A924A78,Fire/Theft,COMP,2018-04-07,Closed,Reported in siu
