incident_id,incident_vin,incident_desc,driver,is_the_vehicle_driveable
INC01-100059,116B831822A44481,rear ended by truck hitting other vehicle2 ahead,Daughter,
INC01-100060,8783E7EEBC0D4249,Insured vehicle had come to a stop in traffic  other vehicle rear ended insured vehicle.,Son,Y
INC01-100061,DC092FD056F34BD0,wind pushed insured vehicle down embankment.,Daughter,Y
INC01-100062,F5EBF0715C904A56,insured vehicle hit while parked by unk 3rd party,Third Party,Y
INC01-100063,7D3C0E1EEB3B4DC2,insured vehicle rear ended other vehicle on el camino drinsured vehiclee,Brother,Y
INC01-100064,D1C2045D08804FD7,other vehicle r/e insured vehicle and pushed insured vehicle into on coming traffic.,Father,Y
INC01-100065,FDF3A254B9DB444C,insured vehicle passed green light while traveling south. Insured vehicle mother vehicleing straight and noticed a motorcycle did a wheelie... Insured vehicle swerved to avoid collided with motorcycle and hit a pothole. Damage to tire/wheel. Makes noise while mother vehicleing not drinsured vehicleeable.,Spouse,Y
INC01-100066,CBEDB215CF3D417A,Insured vehicle hit driver rear bumper of other vehicle,Third Party,Y
INC01-100067,775228E9C162439E,Insured vehicle hit garage with the car damaging the door and another insured vehicle,Son,Y
INC01-100068,CDAD8905F3984636,Damaged occurred when vehicle was parked and unoccupied in parking garage betwn 2pm-10 pm. Possible that someones door hit insured vehicle,Father,Y
INC01-100069,49810C3F93D642F5,insured vehicle parked unk other vehicle struck insured vehicle.,Daughter,Y
INC01-100070,53073E145E224455,Insured vehicle was at a red light when he felt his vehicle mother vehiclee. Other vehicle had hit insured vehicle in the rear,Mother,Y
INC01-100071,E148339AE2BB4E81,Other vehicle collided with insured vehicle,Brother,
INC01-100072,22D1A0A84E01469A,Other vehicle hit insured vehicle while insured was inside building. Claimant left note on insured vehicle.,Brother,
INC01-100073,40B541046117472A,other vehicle and insured vehicle on freeway other vehicle hit rt rear corner of insured vehicle,Mother,Y
INC01-100074,2DAC43D0FF2B496B,other vehicle and insured vehicle trav same direction side by side. Other vehicle lost control and swerved into insured vehicle lane. Insured vehicle swerved right to avoid collided and collided with construction cones on shoulder,Father,Y
INC01-100075,F9E2867253BC4960,insured vehicle stopped at stop sign  looked to proceed and started into the intersection and insured vehicle hit other vehicle motorcycle because insured vehicle did not see other vehicle,Self,Y
INC01-100076,8DD36B8EC1424784,insured vehicle r/e other vehicle   insured stated other vehicle hit on breaks causing other vehicle to push into other vehicle 2,Third Party,Y
INC01-100077,C352E331BCCB403B,Insd foot slipped off brake and insured vehicle hit other vehicle,Third Party,Y
INC01-100078,A7C5DA1A2C9247DD,insured vehicle was parked while hit,Third Party,Y
INC01-100079,9AB8C409CAD34C9B,Insured vehicle was parked at safeway when other vehicle ran into insured vehicle.,Self,Y
INC01-100080,D224C7CBCA7B4683,Someone broke into insured vehicle and took items from the vehicle. Broke the glass and damaged drivers side door lock.,Brother,Y
INC01-100081,222CFD5750F54036,insured vehicle struck by other vehicle at intersection,Spouse,Y
INC01-100082,2B905F8856754ABA,insured vehicle hit while parked overnight at home  hit in rear but also pushed into sign in front,Sister,Y
INC01-100083,D7FB391DAE7443BD,other vehicle was parked on the street. Other vehicle pulled out of the street parking lane and collided with insured vehicle as insured vehicle was passing other vehicle.,Third Party,Y
INC01-100084,131F3B318FA14765,Insured vehicle stopped at red light  waiting to turn right  other vehicle came from behind and hit insured vehicle from the side,Brother,Y
INC01-100085,FDE8A9BB7D85479B,insured vehicle r/e other vehicle.,Sister,Y
INC01-100086,DE63AD40BF864BBA,Insured vehicle left parking lot to make a right hand turn  other vehicle made right hand turn and collided,Third Party,Y
INC01-100087,AA633FCA595C4AB1,other vehicle rear ended insured vehicle at stoplight,Son,Y
INC01-100088,67B5B6B2434F482C,insured vehicle hit by other vehicle while leaving parking lot. Turning right on main road,Son,Y
INC01-100089,13D6ED285E3D41CA,insured vehicle hit parked other vehicle,Mother,
INC01-100090,CF77A39265F44964,Other vehicle collided with insured vehicle,Third Party,Y
INC01-100091,3713B2B37AAD42BE,Insured was stopped at red light claimant backed into the front of insured,Mother,Y
INC01-100092,8B6C042CC8994572,insured vehicle hit other vehicle when other vehicle was parked.,Mother,Y
INC01-100093,A0852753D3624020,insured vehicle pulled in front of ambulance,Father,Y
INC01-100094,FCF1E4D0C6364723,As insured vehicle was going from one parking stall to another  other vehicle was coming down the aisle and collided with insured vehicle.,Son,Y
INC01-100095,02804596C7F349A5,insured vehicle was parked when damaged. Riskincidenthrhvegas.com,Daughter,Y
INC01-100096,36B6224F4B994A33,Other vehicle merged into insured vehicle attempting to change lanes,Brother,Y
INC01-100097,CA68E72600804A3A,insured vehicle was parking and caught the front bumper on a raised cement island pulling it off when leaving parking space.,Third Party,Y
INC01-100098,53055394D8C945A2,insured parked and hit and run by other vehicle unk where insured vehicle was parked when hit.,Self,Y
INC01-100348,7326CCD4AB564E56,Insured vehicle lost control and hit post,Third Party,Y
INC01-100099,2438915AA16A4798,insured vehicle was hit while parked in front of the house. Car is in the middle of the street.,Son,Y
INC01-100100,D3008AD901BC47E3,other vehicle hit parked insured vehicle  hit and run,Son,Y
INC01-100101,DBC0E5795E864B97,other vehicle stopped suddenly causing insured vehicle to rear end,Brother,Y
INC01-100102,0521C56E679443B1,insured vehicle hit while parked and unoccupied. Other vehicle left no information,Daughter,
INC01-100103,61AE5E3952A641D7,Insured vehicle fell into ditch,Self,Y
INC01-100104,D452D0AF497C4FE5,insured vehicle rear ended by other vehicle,Father,Y
INC01-100105,B3C76062BB8B44A9,As insured vehicle was going from one parking stall to another  other vehicle was coming down the aisle and collided with insured vehicle.,Spouse,Y
INC01-100106,1FF280900535486F,insured vehicle 360 spin and hit the concrete wall heavy rains caused insured vehicle to spin,Spouse,
INC01-100107,C4B8A9E46C9F41CA,insured vehicle was stopped at a stop light when other vehicle r/e insured vehicle,Self,Y
INC01-100108,727C4B88A2EF4EE4,insured vehicle was parked. Other vehicle hit insured vehicle.,Sister,Y
INC01-100109,A38E3321CB304AE1,insured vehicle was parked when hit by other vehicle,Spouse,Y
INC01-100110,E32AB0A4BCA14107,insured vehicle pulled in front of ambulance,Brother,
INC01-100111,8AF12992186049EF,Insured vehicle was headed n other vehicle was infront of him with his left turning signal on insured vehicle went around to the right and as he was going around other vehicle  other vehicle went to the right as well and hit insured vehicle,Son,
INC01-100112,E701BA23FB954030,Insured vehicle completely stopped in traffic. Other vehicle 1 r/e other vehicle2  other vehicle2 r/e insured vehicle,Sister,Y
INC01-100113,F53576B63E4B4ABE,insured vehicle made a sharp turn and went into a ditch,Spouse,Y
INC01-100114,3C9DD0D5EEC74B7D,insured vehicle collided. with other vehicle1 passenger side fender.,Son,Y
INC01-100115,041C45399571406D,Other vehicle backed into insured vehicle.,Daughter,
INC01-100116,A995ED1436184CDB,insured vehicle was stopped at a stop light  other vehicle was changing lanes and hit stopped insured vehicle,Son,Y
INC01-100117,6D848B641CC94513,insured vehicle trav nb on side between left and right hand lane  approaching light at busy intersection  other vehicle turned left from babcock onto other lane parallel to insured vehicle and collided,Daughter,Y
INC01-100118,36CFD7D1DCC0429F,Insured vehicle parked. Other vehicle sideswiped insured vehicle while parking.,Son,Y
INC01-100119,170C77C8116144E8,insured vehicle was making a left turn off of the freeway  and was r/e by other vehicle,Son,
INC01-100120,66CF9A2FC670463C,I v was turning left and other vehicle continuing straight when collidedision occurred.,Son,Y
INC01-100121,96F6E13028A24618,insured vehicle was getting to a stop light  unknown other vehicle made a big turn and collided with insured vehicle on the driver side.,Daughter,Y
INC01-100122,C35ECEDCAB494CE6,insured vehicle parked in front of house. Other vehicle1 hit parked camaro  camero hit other vehicle2,Son,
INC01-100123,532B160F4BFF4BE2,insured vehicle was in car wash  was pushed by machinery into other vehicle poi/insured vehicle- broken grill,Brother,Y
INC01-100124,E1B37109CA484DDE,insured vehicle was parked and unattended when other vehicle struck insured vehicle,Brother,Y
INC01-100125,B88BDC15B3B944A3,insured vehicle turning onto paradise rd  making a right turn and swerved far right to avoid an oncoming car and hit other vehicle that was parked on paradise rd. Insured vehicle poi pass front quarter panel scraped   other vehicle poi driver side rear bumper dented and scraped.,Self,Y
INC01-100126,E995CA21B2E84035,Insured vehicle was backing into the drinsured vehiclee way and scrapped against other vehicle parked and un-occupied vehicle.,Brother,
INC01-100127,09411EC4BA5048FD,insured vehicle was backing up when a bicyclist appeared behind insured vehicle. Then insured swerved into a cement pole to avoid hitting the bicyclist.,Mother,Y
INC01-100128,EE326862B4C94CD1,insured vehicle collided with object on the road,Father,
INC01-100129,439C68EC4CAB4926,Insured vehicle was driving and gravel hit windshield and hood,Sister,Y
INC01-100130,56437581C2174AA6,insured vehicle drove over water hose in iron cover that flattened passenger side tires. Insured alleges that city left hose in wrong orientation.,Self,Y
INC01-100131,51347F1786BA4E55,insured parked and hit and run by other vehicle unk where insured vehicle was parked when hit.,Spouse,Y
INC01-100132,B523EE92139B4B8C,other vehicle lost control of vehicle and hit insured vehicle,Father,Y
INC01-100133,EEA8CA5F2FB84CC5,Insured vehicle was in for repairs to sunroof and it was noticed the drivers door was bowed,Son,Y
INC01-100134,AE889DF87AA741CC,Insured vehicle hit pothole and noticed the tire popped,Sister,Y
INC01-100135,521D6454664D46CA,insured vehicle impacted a pole while parking,Daughter,Y
INC01-100136,524AF73D370A449D,Insd foot slipped off brake and insured vehicle hit other vehicle,Spouse,Y
INC01-100137,8DD802639FB6404E,insured vehicle was backing up when a bicyclist appeared behind insured vehicle. Then insured swerved into a cement pole to avoid hitting the bicyclist.,Spouse,Y
INC01-100138,9D26FD9885B14F1B,insured vehicle was trav when a deer came across the rd and insured vehicle swerved to avoid hitting the deer and went into a ditch,Spouse,Y
INC01-100139,804599526C844CAA,Insured vehicle had come to a stop in traffic  other vehicle rear ended insured vehicle.,Daughter,Y
INC01-100140,80C219431C3D42CE,insured vehicle backed into gate,Self,
INC01-100141,0768009295604EA6,other vehicle backed into insured vehicle,Son,Y
INC01-100142,051648CD13844D3F,insured vehicle passed green light while traveling south. Insured vehicle mother vehicleing straight and noticed a motorcycle did a wheelie... Insured vehicle swerved to avoid collided with motorcycle and hit a pothole. Damage to tire/wheel. Makes noise while mother vehicleing not drinsured vehicleeable.,Mother,Y
INC01-100143,B1820DB0577F4930,insured vehicle re other vehicle at a sudden stop,Self,Y
INC01-100144,0F15D69864C04BE2,Insured vehicle was headed n other vehicle was infront of him with his left turning signal on insured vehicle went around to the right and as he was going around other vehicle  other vehicle went to the right as well and hit insured vehicle,Sister,Y
INC01-100145,047D4C92B13E4AB3,Insd foot slipped off brake and insured vehicle hit other vehicle,Brother,Y
INC01-101796,37AB6BD4A59B4B43,insured vehicle hit a light pole,Brother,
INC01-100146,8BA3E8060A1C42FB,Insured vehicle was driving to proceed to make a left turn at the light  when other vehicle was pulling out of a drinsured vehicleeway on to the intersection and crossed the two to lanes to make a left turn and collided into insured vehicle,Self,Y
INC01-100147,40E6F2B258804E75,insured vehicle had come to a stop at a light  other vehicle rear ended insured vehicle.,Spouse,Y
INC01-100148,1C646961A41346AA,insured vehicle parked in front of house. Other vehicle1 hit parked camaro  camero hit other vehicle2,Son,Y
INC01-100149,D3D04B198C694C55,Other vehicle collided insured vehicle,Daughter,
INC01-100150,81D3E4A640204BF9,Other vehicle r/e stopped insured vehicle,Father,Y
INC01-100151,7B2DB972613847E9,insured vehicle hit by other vehicle while parked. Other vehicle hit-and-run,Mother,Y
INC01-100152,1B5C295965074D7E,insured vehicle hit by other vehicle while leaving parking lot. Turning right on main road,Third Party,Y
INC01-100153,9AEB8ED5B59B45A9,insured vehicle was hit by other vehicle who ran a red light hitting him on the drinsured vehicleer side.,Father,Y
INC01-100154,FD2AE332A2DE4EB8,insured vehicle making right turn  other vehicle struck insured vehicle,Self,Y
INC01-100155,27F16265E2CB48F7,insured vehicle was parked while hit,Mother,Y
INC01-100156,656CD9DD4BCC4581,insured vehicle collided. with other vehicle1 passenger side fender.,Sister,
INC01-100157,C06A7894F55042E1,insured vehicle rear ended by other vehicle at stop light.,Brother,Y
INC01-100158,8B5CB8DDBF7A4A67,other vehicle hit and run insured vehicle while insured vehicle parked,Son,Y
INC01-100159,F6C832ED4D3D48EF,insured vehicle was going to make left on court land  insured vehicle did not see the other vehicle and other vehicle smashed into insured vehicle.,Self,Y
INC01-100160,679A806AB222451E,Insured vehicle trav on 11th st wb  insured vehicle stopped at stop light  other vehicle 1 re insured vehicle  insured vehicle re other vehicle 2,Son,
INC01-100161,90600957DB124833,insured vehicle was backing out of his space. Other vehicle stopped behind insured vehicle. Insured vehicle stopped when car alerted him that there was something behind them. Insured vehicle says they stopped before hitting other vehicle. Other vehicle claims they hit him.,Father,Y
INC01-100162,DB14A4CBBF894816,other vehicle r/e insured vehicle and pushed insured vehicle into on coming traffic.,Mother,
INC01-100163,EC14E5812E0244F6,other vehicle started mother vehicleing into insured vehicle lane from on coming traffic and ran insured vehicle off road,Self,Y
INC01-100164,4682AC0508F843F9,insured vehicle cut corner and collided with stopped other vehicle,Spouse,
INC01-100165,8A95799302BD4260,Insured vehicle was rear ended by other vehicle,Spouse,Y
INC01-100166,E73C1F4B039F4B72,Insured vehicle was in right left turn . Other vehicle was in the inner left turn lane. Insured vehicle and other vehicle proceeded to turn. Other vehicle turned into insured vehicle,Father,Y
INC01-100167,1ED670A6FD9B4064,insured vehicle backed up into parked other vehicle.,Daughter,Y
INC01-100168,79C0F6D9724340D4,other vehicle backed into insured vehicle while waiting to park,Father,
INC01-100169,D84C5899F03B4E7E,Insured vehicle was completely stopped at a red light  then slightly backed up to see the street sign  insured vehicle tapped the other vehicle,Father,Y
INC01-100170,17F1801850724605,insured traveling west bound on the skyway when the vehicle in front of the insured vehicle suddenly stopped. Insured vehicle was able to stop to avoid collided however the vehicle behind the insured vehicle re the trailer that the insured was pulling.,Father,Y
INC01-100171,A508F46BF58D4A86,other vehicle hit insured vehicle,Self,Y
INC01-100172,9254CC1C1AF341EB,other vehicle collided w/ parked insured vehicle,Spouse,Y
INC01-100173,09CB8AD357FD47FF,Insured vehicle rear ended other vehicle on the left side.,Spouse,
INC01-100174,D4C62AAC2A414A5A,other vehicle side swiped insured vehicle going from left lane to right lane,Spouse,Y
INC01-100175,F86A32A71B4245AC,insured vehicle was in right turn lane and yellow cab was in straight lane but turned into insured vehicle,Mother,Y
INC01-100176,1B4BA02DD08748E3,insured vehicle was parked while hit,Third Party,Y
INC01-100177,8D157B07DEE24FBB,Insured vehicle hit bail of hay that fell off of tractor,Third Party,Y
INC01-100178,45093776FF12451C,insured vehicle lost control of vehicle on wet road and hit curb,Mother,
INC01-100179,B283BDD6564E48ED,insured vehicle hit other vehicle while backing out of parking space,Spouse,
INC01-100180,356F3F2A7A8F40C2,Other vehicle hit insured vehicle while parked.,Brother,Y
INC01-100181,49744C0A50614523,insured vehicle r/e other vehicle   insured stated other vehicle hit on breaks causing other vehicle to push into other vehicle 2,Son,Y
INC01-100182,210976C7F2254998,insured vehicle lost control of vehicle on wet road and hit curb,Sister,Y
INC01-100183,3978007300364716,insured vehicle backed out into someone in parking lot.,Brother,Y
INC01-100184,9EF99E9DABE74029,insured vehicle waiting to park into parking spot and other vehicle was parked and started backing out and insured vehicle honked horn before the collided . Other vehicle collided w insured vehicle,Mother,Y
INC01-100185,D27782244E2F40C7,Insured vehicle was stopped when other vehicle rear ended insured brother who was driving,Daughter,Y
INC01-100186,C66C7C30421F4958,Insured vehicle was pulling out into street and ran into other vehicle driver side.,Self,
INC01-100187,F86106C47D874B56,Insured vehicle parked  came out to rear driver side dented and scratched,Third Party,Y
INC01-100188,9A091E877B03456D,Insured vehicle left parking lot to make a right hand turn  other vehicle made right hand turn and collided,Father,
INC01-100189,6EE626F9FC4E4005,insured vehicle parked  other vehicle struck insured vehicle,Son,Y
INC01-100190,1453220728E948B0,Insured vehicle was stopped at a light and was re by the other vehicle.,Daughter,Y
INC01-100191,2C7A20A2B0454E7B,Other vehicle was parked at an angle behind insured vehicle. Insured vehicle backed up and hit parked other vehicle.,Son,Y
INC01-100192,AF64A5AB75C7409B,insured backed into and collided with tree.,Brother,Y
INC01-100193,0876869BDDA843A9,insured vehicle attempting to park did not see parking block due to snow and hit parking block.,Father,Y
INC01-100194,2311ED42ED9F4DBD,other vehicle stopped and insured vehicle didnt stop in time   re other vehicle,Daughter,Y
INC01-111069,8C796875A71D4951,insured vehicle was rear ended,Mother,Y
INC01-100195,78303300C7834791,insured vehicle was driving and ran over an unknown object damaging front end.,Sister,Y
INC01-100196,3597BCC1422B4E5F,Other vehicle was trying to make a left turn and hit insured vehicle,Mother,
INC01-100197,A973FB283618486E,insured vehicle was hit while parked in front of the house. Car is in the middle of the street.,Daughter,
INC01-100198,B7FBE2B66B5C4155,insured vehicle backed into parked and occupied other vehicle.,Daughter,Y
INC01-100199,36DA9BF3DCBB42A2,It was raining. Insd couldnt see very well. Insured vehicle hit a pothole causing the tire to blow out and insured vehicle collided with the dinsured vehicleider.,Father,Y
INC01-100200,2D6EC57BE39544BB,insured vehicle backed into the other vehicle and the parking lot was completely dark and the other vehicle didnt have head lights on,Third Party,Y
INC01-100201,16727D396485448F,insured vehicle was rear-ended by other vehicle,Father,Y
INC01-100202,67E27B3DE0644693,insured vehicle was completing uturn and was hit by other vehicle,Brother,Y
INC01-100203,A8D01EE14F5A4212,Insured vehicle was parked and unoccupied and other vehicle backed up into insured vehicle,Self,Y
INC01-100204,057718D015724D99,Insured vehicle hit other vehicle while mother vehicleing into other vehicle lane.,Third Party,
INC01-100205,1CF82480326B458D,insured vehicle was getting on an on ramp it was a stop and go traffic when insured vehicle rear ended other vehicle.,Sister,
INC01-100206,9B1DCAF8751C4A86,Other vehicle collided insured vehicle,Daughter,
INC01-100207,48826BD8054345B3,Insured vehicle was in right left turn . Other vehicle was in the inner left turn lane. Insured vehicle and other vehicle proceeded to turn. Other vehicle turned into insured vehicle,Third Party,Y
INC01-100208,5014F441523B44F0,other vehicle changed lanes hit insured vehicle.,Son,Y
INC01-100209,9E4647FD14A848A1,other vehicle hit insured vehicle on the pass side,Self,Y
INC01-100210,016DE3E377E740E2,insured vehicle hit fixed concrete around telephone pole,Sister,Y
INC01-100211,C7CCF5931F9343E1,insured vehicle tried swerving to other lane to avoid hitting other vehicle but didnt work,Mother,Y
INC01-100212,4C9D01B0FA464342,Insured vehicle was parked-other vehicle collided with insured vehicle,Father,Y
INC01-100213,08BFE9411CA34F98,Other vehicle was parked at an angle behind insured vehicle. Insured vehicle backed up and hit parked other vehicle.,Father,
INC01-100214,BA941FACA0A3494A,Other vehicle back into insured vehicle while insured vehicle was parked and unoccupied,Brother,Y
INC01-100215,55E5A5233E644DA9,insured vehicle was turning  lost control  the vehicle skid and hit the curb. It flipped 3 times,Third Party,Y
INC01-100216,48EBDED9EE564323,Insured vehicle stopped  other vehicle backed into insured vehicle,Mother,Y
INC01-100217,3A3F5ABEB4244EF4,Insured vehicle r/e stopped other vehicle,Spouse,Y
INC01-100218,25E249B557BC46CF,insured vehicle was turning right off galvenston and side swiped other vehicle who was also turning into left lane,Son,Y
INC01-100219,90852F81C89E4554,insured vehicle was hit while parked at work,Self,Y
INC01-100220,17556DF9BB864ABE,other vehicle re insured vehicle,Brother,Y
INC01-100221,67A4D4DE91714156,insured vehicle was hit by bushy part of tree while parked and unoccupied at residence,Mother,Y
INC01-100222,AAB74890042F4725,insured vehicle stopped at red light other vehicle1 rear ended insured vehicle other vehicle2 rear ended other vehicle1,Spouse,Y
INC01-100223,20B3F63C0B944BEF,Damaged occurred when vehicle was parked and unoccupied in parking garage betwn 2pm-10 pm. Possible that someones door hit insured vehicle,Third Party,Y
INC01-100224,C8A1E81131AC4AA8,insured vehicle hit by other vehicle while leaving parking lot. Turning right on main road,Spouse,Y
INC01-100225,9463A1BEB4CE4B67,insured vehicle was in right turn lane and yellow cab was in straight lane but turned into insured vehicle,Sister,Y
INC01-100226,D6C74B8E890C457E,f/e p/s bumper  headlight damage  frame damage p/s f/e,Spouse,Y
INC01-100227,ABA6FA18253346C0,other vehicle backing into insured vehicle,Son,Y
INC01-100228,475E0165264541F5,other vehicle r/e insured vehicle at stop light,Father,Y
INC01-100229,0A3D8F1ED70446E2,ins walked out to see damage on vehicle,Mother,Y
INC01-100230,7D20DCB5FB924BFD,insured vehicle re other vehicle,Third Party,Y
INC01-100231,E3919E430FCA4D02,other vehicle backed up from parking space and collided with parked and occupied insured vehicle,Brother,
INC01-100232,AE20B9FD98654678,insured vehicle was parked and unattended when other vehicle struck insured vehicle,Father,Y
INC01-100233,887D5B50A0ED417F,insured vehicle was backing out of the parking spot and hit the pillar in the garage.,Mother,Y
INC01-100234,EEF4E2A54FF14BC5,insured vehicle parked insured came out to find damage no info left,Daughter,Y
INC01-100235,23E3789F437545C3,insured vehicle struck other vehicle left turn on yellow,Self,Y
INC01-100236,49CD44722E594F6E,other vehicle backed into insured vehicle at a stop sign on fifth and g street,Third Party,
INC01-100237,407014272BE641A1,I was in a single car accident an hour ago and the car is totaled without a doubt. Flipped and landed upside down  it's trashed,Spouse,Y
