policysource,policynumber,policylob,policytype,policystate,policyaddressid,termeffectivedate,termexpirationdate,policyinceptiondate,renewal_cycle,renewalterm,policystatus,policystatusreason,premiumamount,recordstartdate,recordenddate
System3,POL01-1025014,Auto,Auto Insurance,ID,CNT01-1025014,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2019-02-11 00:00:00.000000,6,1,Active,,$1401,2019-02-11 01:03:22.110895,
System2,POL01-1025015,Auto,Auto Insurance,IN,CNT01-1025015,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2019-02-11 00:00:00.000000,6,1,Active,,$1812,2019-02-11 01:03:22.141631,
System3,POL01-1009352,Auto,Auto Insurance,GA,CNT01-1009352,2018-11-27 00:00:00.000000,2019-05-27 00:00:00.000000,2015-11-27 00:00:00.000000,6,7,Cancelled,,$624,2019-02-11 01:03:22.192367,
System1,POL01-1022668,Auto,Auto Insurance,OH,CNT01-1022668,2018-03-26 00:00:00.000000,2019-03-26 00:00:00.000000,2016-03-26 00:00:00.000000,12,3,Lapsed,,$1054,2019-02-11 01:03:22.192367,
System3,POL01-1024221,Auto,Auto Insurance,MI,CNT01-1024221,2017-02-16 00:00:00.000000,2017-08-16 00:00:00.000000,2016-08-16 00:00:00.000000,6,2,Active,,$1396,2019-02-11 01:03:22.192367,
System2,POL01-1016406,Auto,Auto Insurance,RI,CNT01-1016406,2019-01-10 00:00:00.000000,2019-07-10 00:00:00.000000,2017-07-10 00:00:00.000000,6,4,Lapsed,,$1891,2019-02-11 01:03:22.192367,
System2,POL01-1003655,Auto,Auto Insurance,MT,CNT01-1003655,2003-11-27 00:00:00.000000,2004-05-27 00:00:00.000000,2002-11-27 00:00:00.000000,6,3,Cancelled,,$1386,2019-02-11 01:03:22.192367,
System2,POL01-1004591,Auto,Auto Insurance,WA,CNT01-1004591,2018-11-01 00:00:00.000000,2019-05-01 00:00:00.000000,2017-11-01 00:00:00.000000,6,3,Lapsed,,$1222,2019-02-11 01:03:22.192367,
System3,POL01-1001778,Auto,Auto Insurance,VT,CNT01-1001778,2015-04-25 00:00:00.000000,2015-10-25 00:00:00.000000,2012-04-25 00:00:00.000000,6,7,Active,,$1149,2019-02-11 01:03:22.192367,
System3,POL01-1024416,Auto,Auto Insurance,KY,CNT01-1024416,2018-07-17 00:00:00.000000,2019-07-17 00:00:00.000000,2003-07-17 00:00:00.000000,12,16,Inactive,,$1553,2019-02-11 01:03:22.192367,
System3,POL01-1017134,Auto,Auto Insurance,WY,CNT01-1017134,2007-03-12 00:00:00.000000,2008-03-12 00:00:00.000000,2003-03-12 00:00:00.000000,12,5,Inactive,,$632,2019-02-11 01:03:22.192367,
System1,POL01-1012708,Auto,Auto Insurance,MN,CNT01-1012708,2012-08-19 00:00:00.000000,2013-08-19 00:00:00.000000,2006-08-19 00:00:00.000000,12,7,Active,,$1138,2019-02-11 01:03:22.192367,
System3,POL01-1000279,Auto,Auto Insurance,AA,CNT01-1000279,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2017-02-11 00:00:00.000000,6,5,Active,,$1600,2019-02-11 01:03:22.217361,
System2,POL01-1000326,Auto,Auto Insurance,NH,CNT01-1000326,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2013-02-11 00:00:00.000000,6,13,Active,,$970,2019-02-11 01:03:22.217361,
System1,POL01-1001247,Auto,Auto Insurance,MD,CNT01-1001247,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2015-08-11 00:00:00.000000,6,8,Active,,$1581,2019-02-11 01:03:22.217361,
System2,POL01-1001322,Auto,Auto Insurance,CO,CNT01-1001322,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2010-02-11 00:00:00.000000,12,10,Active,,$1186,2019-02-11 01:03:22.217361,
System3,POL01-1001610,Auto,Auto Insurance,CO,CNT01-1001610,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2011-02-11 00:00:00.000000,12,9,Active,,$1006,2019-02-11 01:03:22.217361,
System1,POL01-1002404,Auto,Auto Insurance,DC,CNT01-1002404,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2018-02-11 00:00:00.000000,6,3,Active,,$1516,2019-02-11 01:03:22.217361,
System2,POL01-1002821,Auto,Auto Insurance,AA,CNT01-1002821,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2016-08-11 00:00:00.000000,6,6,Active,,$1548,2019-02-11 01:03:22.217361,
System2,POL01-1003340,Auto,Auto Insurance,NJ,CNT01-1003340,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2016-02-11 00:00:00.000000,12,4,Active,,$1398,2019-02-11 01:03:22.217361,
System2,POL01-1003492,Auto,Auto Insurance,IN,CNT01-1003492,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2016-02-11 00:00:00.000000,12,4,Active,,$1162,2019-02-11 01:03:22.217361,
System1,POL01-1005057,Auto,Auto Insurance,DC,CNT01-1005057,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2016-08-11 00:00:00.000000,6,6,Active,,$670,2019-02-11 01:03:22.217361,
System1,POL01-1005336,Auto,Auto Insurance,ME,CNT01-1005336,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2015-02-11 00:00:00.000000,12,5,Active,,$685,2019-02-11 01:03:22.217361,
System3,POL01-1005384,Auto,Auto Insurance,SC,CNT01-1005384,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2018-02-11 00:00:00.000000,12,2,Active,,$1041,2019-02-11 01:03:22.217361,
System3,POL01-1005392,Auto,Auto Insurance,WV,CNT01-1005392,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2018-08-11 00:00:00.000000,6,2,Active,,$995,2019-02-11 01:03:22.217361,
System1,POL01-1005929,Auto,Auto Insurance,WA,CNT01-1005929,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2018-02-11 00:00:00.000000,12,2,Active,,$688,2019-02-11 01:03:22.217361,
System2,POL01-1006151,Auto,Auto Insurance,OH,CNT01-1006151,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2015-08-11 00:00:00.000000,6,8,Active,,$1794,2019-02-11 01:03:22.217361,
System1,POL01-1006224,Auto,Auto Insurance,ND,CNT01-1006224,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2015-08-11 00:00:00.000000,6,8,Active,,$514,2019-02-11 01:03:22.217361,
System2,POL01-1006328,Auto,Auto Insurance,CT,CNT01-1006328,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2016-02-11 00:00:00.000000,6,7,Active,,$1949,2019-02-11 01:03:22.217361,
System2,POL01-1006966,Auto,Auto Insurance,TX,CNT01-1006966,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2017-08-11 00:00:00.000000,6,4,Active,,$1171,2019-02-11 01:03:22.217361,
System1,POL01-1007709,Auto,Auto Insurance,AL,CNT01-1007709,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2017-02-11 00:00:00.000000,6,5,Active,,$1021,2019-02-11 01:03:22.217361,
System2,POL01-1008030,Auto,Auto Insurance,KS,CNT01-1008030,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2016-08-11 00:00:00.000000,6,6,Active,,$896,2019-02-11 01:03:22.217361,
System2,POL01-1008440,Auto,Auto Insurance,AP,CNT01-1008440,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2018-02-11 00:00:00.000000,12,2,Active,,$917,2019-02-11 01:03:22.217361,
System2,POL01-1008646,Auto,Auto Insurance,AK,CNT01-1008646,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2018-02-11 00:00:00.000000,6,3,Active,,$597,2019-02-11 01:03:22.217361,
System3,POL01-1008749,Auto,Auto Insurance,MO,CNT01-1008749,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2017-02-11 00:00:00.000000,12,3,Active,,$1291,2019-02-11 01:03:22.217361,
System1,POL01-1008873,Auto,Auto Insurance,CA,CNT01-1008873,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2017-08-11 00:00:00.000000,6,4,Active,,$1434,2019-02-11 01:03:22.217361,
System3,POL01-1008888,Auto,Auto Insurance,HI,CNT01-1008888,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2014-02-11 00:00:00.000000,12,6,Active,,$1279,2019-02-11 01:03:22.217361,
System3,POL01-1008961,Auto,Auto Insurance,MN,CNT01-1008961,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2016-08-11 00:00:00.000000,6,6,Active,,$1442,2019-02-11 01:03:22.217361,
System2,POL01-1009473,Auto,Auto Insurance,MA,CNT01-1009473,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2018-08-11 00:00:00.000000,6,2,Active,,$672,2019-02-11 01:03:22.217361,
System1,POL01-1009641,Auto,Auto Insurance,LA,CNT01-1009641,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2017-02-11 00:00:00.000000,6,5,Active,,$1254,2019-02-11 01:03:22.217361,
System1,POL01-1009661,Auto,Auto Insurance,TN,CNT01-1009661,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2015-08-11 00:00:00.000000,6,8,Active,,$1381,2019-02-11 01:03:22.217361,
System1,POL01-1010362,Auto,Auto Insurance,AR,CNT01-1010362,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2018-02-11 00:00:00.000000,6,3,Active,,$729,2019-02-11 01:03:22.217361,
System2,POL01-1010475,Auto,Auto Insurance,HI,CNT01-1010475,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2018-08-11 00:00:00.000000,6,2,Active,,$1170,2019-02-11 01:03:22.217361,
System2,POL01-1011132,Auto,Auto Insurance,MD,CNT01-1011132,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2012-02-11 00:00:00.000000,12,8,Active,,$1818,2019-02-11 01:03:22.217361,
System2,POL01-1011455,Auto,Auto Insurance,FL,CNT01-1011455,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2015-02-11 00:00:00.000000,12,5,Active,,$816,2019-02-11 01:03:22.217361,
System3,POL01-1011960,Auto,Auto Insurance,NH,CNT01-1011960,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2017-08-11 00:00:00.000000,6,4,Active,,$1612,2019-02-11 01:03:22.217361,
System2,POL01-1012247,Auto,Auto Insurance,TX,CNT01-1012247,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2018-02-11 00:00:00.000000,12,2,Active,,$616,2019-02-11 01:03:22.217361,
System3,POL01-1013138,Auto,Auto Insurance,MD,CNT01-1013138,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2017-02-11 00:00:00.000000,12,3,Active,,$1160,2019-02-11 01:03:22.217361,
System1,POL01-1014447,Auto,Auto Insurance,SD,CNT01-1014447,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2004-02-11 00:00:00.000000,12,16,Active,,$1565,2019-02-11 01:03:22.217361,
System1,POL01-1014480,Auto,Auto Insurance,NE,CNT01-1014480,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2016-02-11 00:00:00.000000,12,4,Active,,$1216,2019-02-11 01:03:22.217361,
System1,POL01-1014639,Auto,Auto Insurance,NJ,CNT01-1014639,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2016-02-11 00:00:00.000000,6,7,Active,,$846,2019-02-11 01:03:22.217361,
System3,POL01-1015408,Auto,Auto Insurance,LA,CNT01-1015408,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2016-02-11 00:00:00.000000,12,4,Active,,$640,2019-02-11 01:03:22.217361,
System1,POL01-1015563,Auto,Auto Insurance,SC,CNT01-1015563,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2015-02-11 00:00:00.000000,12,5,Active,,$511,2019-02-11 01:03:22.217361,
System3,POL01-1015831,Auto,Auto Insurance,AE,CNT01-1015831,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2016-02-11 00:00:00.000000,6,7,Active,,$855,2019-02-11 01:03:22.217361,
System2,POL01-1015896,Auto,Auto Insurance,KY,CNT01-1015896,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2018-08-11 00:00:00.000000,6,2,Active,,$1884,2019-02-11 01:03:22.217361,
System1,POL01-1016335,Auto,Auto Insurance,NM,CNT01-1016335,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2017-02-11 00:00:00.000000,12,3,Active,,$1777,2019-02-11 01:03:22.217361,
System2,POL01-1016375,Auto,Auto Insurance,NM,CNT01-1016375,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2017-08-11 00:00:00.000000,6,4,Active,,$1929,2019-02-11 01:03:22.217361,
System3,POL01-1017258,Auto,Auto Insurance,VT,CNT01-1017258,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2018-08-11 00:00:00.000000,6,2,Active,,$1489,2019-02-11 01:03:22.217361,
System2,POL01-1017422,Auto,Auto Insurance,IL,CNT01-1017422,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2016-02-11 00:00:00.000000,12,4,Active,,$1429,2019-02-11 01:03:22.217361,
System2,POL01-1017616,Auto,Auto Insurance,MT,CNT01-1017616,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2017-02-11 00:00:00.000000,6,5,Active,,$1373,2019-02-11 01:03:22.217361,
System2,POL01-1018020,Auto,Auto Insurance,IL,CNT01-1018020,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2016-02-11 00:00:00.000000,12,4,Active,,$877,2019-02-11 01:03:22.217361,
System2,POL01-1018396,Auto,Auto Insurance,HI,CNT01-1018396,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2015-02-11 00:00:00.000000,12,5,Active,,$570,2019-02-11 01:03:22.217361,
System2,POL01-1018702,Auto,Auto Insurance,AE,CNT01-1018702,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2017-08-11 00:00:00.000000,6,4,Active,,$831,2019-02-11 01:03:22.217361,
System3,POL01-1018775,Auto,Auto Insurance,VA,CNT01-1018775,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2018-02-11 00:00:00.000000,12,2,Active,,$945,2019-02-11 01:03:22.217361,
System2,POL01-1019111,Auto,Auto Insurance,MA,CNT01-1019111,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2016-02-11 00:00:00.000000,12,4,Active,,$1762,2019-02-11 01:03:22.217361,
System1,POL01-1019605,Auto,Auto Insurance,AK,CNT01-1019605,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2017-02-11 00:00:00.000000,12,3,Active,,$1975,2019-02-11 01:03:22.217361,
System1,POL01-1020187,Auto,Auto Insurance,TX,CNT01-1020187,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2017-02-11 00:00:00.000000,6,5,Active,,$567,2019-02-11 01:03:22.217361,
System1,POL01-1020553,Auto,Auto Insurance,NJ,CNT01-1020553,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2018-02-11 00:00:00.000000,6,3,Active,,$627,2019-02-11 01:03:22.217361,
System3,POL01-1020821,Auto,Auto Insurance,CA,CNT01-1020821,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2015-02-11 00:00:00.000000,12,5,Active,,$1652,2019-02-11 01:03:22.217361,
System1,POL01-1021013,Auto,Auto Insurance,AE,CNT01-1021013,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2016-08-11 00:00:00.000000,6,6,Active,,$1427,2019-02-11 01:03:22.217361,
System2,POL01-1021492,Auto,Auto Insurance,FL,CNT01-1021492,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2018-02-11 00:00:00.000000,6,3,Active,,$1792,2019-02-11 01:03:22.217361,
System2,POL01-1021788,Auto,Auto Insurance,AE,CNT01-1021788,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2015-02-11 00:00:00.000000,6,9,Active,,$844,2019-02-11 01:03:22.217361,
System3,POL01-1021901,Auto,Auto Insurance,MD,CNT01-1021901,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2015-08-11 00:00:00.000000,6,8,Active,,$924,2019-02-11 01:03:22.217361,
System3,POL01-1021903,Auto,Auto Insurance,CO,CNT01-1021903,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2018-02-11 00:00:00.000000,6,3,Active,,$1355,2019-02-11 01:03:22.217361,
System2,POL01-1022882,Auto,Auto Insurance,OH,CNT01-1022882,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2018-02-11 00:00:00.000000,12,2,Active,,$1393,2019-02-11 01:03:22.217361,
System3,POL01-1023456,Auto,Auto Insurance,IA,CNT01-1023456,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2016-08-11 00:00:00.000000,6,6,Active,,$855,2019-02-11 01:03:22.217361,
System1,POL01-1023678,Auto,Auto Insurance,KY,CNT01-1023678,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2015-08-11 00:00:00.000000,6,8,Active,,$1936,2019-02-11 01:03:22.217361,
System3,POL01-1023871,Auto,Auto Insurance,VA,CNT01-1023871,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2016-08-11 00:00:00.000000,6,6,Active,,$1650,2019-02-11 01:03:22.217361,
System2,POL01-1024491,Auto,Auto Insurance,MA,CNT01-1024491,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2018-02-11 00:00:00.000000,6,3,Active,,$1326,2019-02-11 01:03:22.217361,
