exposuretype,securitylevel,varcharext,createuserid,coverageid,createtime,compbenefitsid,averageweeklywages,daysinweek,lostpropertytype,segment,lastdayworked,ssbenefit,pipdeathbenefitsid,id,claimid,rsbenefitsid,examinationdate,ppdbenefitsid,integerext,tpdbenefitsid,wagestmtrecd,claimanttype,closedoutcome,hospitaldate,incidentlimitreached,locked,wcbenefit,settlemethod,othercovgchoice,wagebenefit,deathbenefitsid,assignedgroupid,depreciatedvalue,previousqueueid,assignmentdate,assignmentstatus,loadcommandid,metriclimitgeneration,disbenefitsid,progress,diagnosticcnsistnt,assignedbyuserid,wcpreexdisblty,updateuserid,updatetime,losscategory,treatedpatientbfr,lossparty,publicid,breakin,retired,archivepartition,validationlevel,pippersonagglimitreached,lifepensionbenefitsid,jurisdictionstate,state,coveragesubtype,previoususerid,vocbenefitsid,statlineid,priorempdataid,reopendate,isoreceivedate,claimorder,strategy,ptdbenefitsid,replacementvalue,ttdbenefitsid,wcpreexdisbltyinfo,closedate,wcbenefitsid,previousgroupid,exposuretier,riagreementgroupid,pipvocbenefitsid,isostatus,settledate,ssdibenefitsid,pipnonmedagglimitreached,assignedqueueid,pipesslimitreached,othercoverageinfo,templocationid,hospitaldays,furthertreatment,assigneduserid,isosenddate,ssdieligible,isoknown,exposurelimitreached,reopenedreason,beanversion,wagestmtsent,claimantdenormid,primarycoverage,currentconditions,incidentid,newempdataid,rigroupsetexternally,pipclaimagglimitreached,othercoverage,contactpermitted
COL,,,,COV01-1000002,2018-01-13,,,,,,,,,EXP01-10004,CLM01-1001206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100017,,,,,
GLASS,,,,COV01-1000002,2018-10-09,,,,,,,,,EXP01-10001,CLM01-1007851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100018,,,,,
COL,,,,COV01-1000001,2019-01-01,,,,,,,,,EXP01-10004,CLM01-1010269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100019,,,,,
BI,,,,COV01-1000002,2018-07-01,,,,,,,,,EXP01-10002,CLM01-1005247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100020,,,,,
GLASS,,,,COV01-1000002,2018-07-14,,,,,,,,,EXP01-10001,CLM01-1007203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100021,,,,,
BI,,,,COV01-1000002,2018-08-06,,,,,,,,,EXP01-10002,CLM01-1009753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100022,,,,,
BI,,,,COV01-1000002,2019-01-28,,,,,,,,,EXP01-10002,CLM01-1002741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100023,,,,,
GLASS,,,,COV01-1000001,2018-01-20,,,,,,,,,EXP01-10001,CLM01-1003267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100024,,,,,
COMP,,,,COV01-1000001,2018-03-06,,,,,,,,,EXP01-10003,CLM01-1002429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100025,,,,,
BI,,,,COV01-1000002,2018-12-08,,,,,,,,,EXP01-10002,CLM01-1010843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100026,,,,,
PD,,,,COV01-1000002,2018-03-24,,,,,,,,,EXP01-10005,CLM01-1009147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100027,,,,,
PD,,,,COV01-1000002,2018-01-18,,,,,,,,,EXP01-10005,CLM01-1002806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100028,,,,,
PD,,,,COV01-1000001,2018-12-29,,,,,,,,,EXP01-10005,CLM01-1000272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100029,,,,,
COL,,,,COV01-1000002,2018-09-18,,,,,,,,,EXP01-10004,CLM01-1009214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100030,,,,,
GLASS,,,,COV01-1000002,2018-04-06,,,,,,,,,EXP01-10001,CLM01-1008346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100031,,,,,
GLASS,,,,COV01-1000003,2018-05-02,,,,,,,,,EXP01-10001,CLM01-1005984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100032,,,,,
GLASS,,,,COV01-1000002,2018-10-28,,,,,,,,,EXP01-10001,CLM01-1007924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100033,,,,,
BI,,,,COV01-1000002,2018-11-10,,,,,,,,,EXP01-10002,CLM01-1001555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100034,,,,,
COL,,,,COV01-1000002,2018-12-28,,,,,,,,,EXP01-10004,CLM01-1009401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100035,,,,,
COMP,,,,COV01-1000002,2018-02-26,,,,,,,,,EXP01-10003,CLM01-1009312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100036,,,,,
GLASS,,,,COV01-1000002,2018-08-08,,,,,,,,,EXP01-10001,CLM01-1008129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100037,,,,,
COMP,,,,COV01-1000002,2019-01-29,,,,,,,,,EXP01-10003,CLM01-1002260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100038,,,,,
COMP,,,,COV01-1000001,2018-05-14,,,,,,,,,EXP01-10003,CLM01-1000607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100039,,,,,
COL,,,,COV01-1000001,2018-09-14,,,,,,,,,EXP01-10004,CLM01-1005192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100040,,,,,
BI,,,,COV01-1000002,2018-05-08,,,,,,,,,EXP01-10002,CLM01-1000081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100041,,,,,
COMP,,,,COV01-1000002,2018-09-16,,,,,,,,,EXP01-10003,CLM01-1008161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100042,,,,,
PD,,,,COV01-1000002,2018-05-14,,,,,,,,,EXP01-10005,CLM01-1000262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100043,,,,,
GLASS,,,,COV01-1000002,2018-11-17,,,,,,,,,EXP01-10001,CLM01-1003984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100044,,,,,
GLASS,,,,COV01-1000002,2019-01-17,,,,,,,,,EXP01-10001,CLM01-1009020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2019-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100045,,,,,
PD,,,,COV01-1000004,2018-06-22,,,,,,,,,EXP01-10005,CLM01-1000260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100046,,,,,
COL,,,,COV01-1000001,2018-02-23,,,,,,,,,EXP01-10004,CLM01-1002243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100047,,,,,
GLASS,,,,COV01-1000002,2018-08-04,,,,,,,,,EXP01-10001,CLM01-1002365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100048,,,,,
COMP,,,,COV01-1000002,2018-05-28,,,,,,,,,EXP01-10003,CLM01-1001995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100049,,,,,
COMP,,,,COV01-1000005,2018-05-12,,,,,,,,,EXP01-10003,CLM01-1007480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100050,,,,,
COMP,,,,COV01-1000001,2018-03-12,,,,,,,,,EXP01-10003,CLM01-1010434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100051,,,,,
PD,,,,COV01-1000002,2018-02-27,,,,,,,,,EXP01-10005,CLM01-1010356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100052,,,,,
COL,,,,COV01-1000001,2019-01-07,,,,,,,,,EXP01-10004,CLM01-1007828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100053,,,,,
GLASS,,,,COV01-1000002,2018-03-18,,,,,,,,,EXP01-10001,CLM01-1001599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100054,,,,,
PD,,,,COV01-1000002,2018-02-21,,,,,,,,,EXP01-10005,CLM01-1008211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100055,,,,,
COMP,,,,COV01-1000002,2018-04-21,,,,,,,,,EXP01-10003,CLM01-1003506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100056,,,,,
PD,,,,COV01-1000001,2018-10-02,,,,,,,,,EXP01-10005,CLM01-1002822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100057,,,,,
COMP,,,,COV01-1000001,2018-04-14,,,,,,,,,EXP01-10003,CLM01-1005714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100058,,,,,
PD,,,,COV01-1000002,2018-10-05,,,,,,,,,EXP01-10005,CLM01-1009067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100059,,,,,
GLASS,,,,COV01-1000002,2018-07-23,,,,,,,,,EXP01-10001,CLM01-1006615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100060,,,,,
PD,,,,COV01-1000002,2018-05-02,,,,,,,,,EXP01-10005,CLM01-1010930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100061,,,,,
BI,,,,COV01-1000001,2018-05-01,,,,,,,,,EXP01-10002,CLM01-1009047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100062,,,,,
PD,,,,COV01-1000001,2018-12-06,,,,,,,,,EXP01-10005,CLM01-1005144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100063,,,,,
COL,,,,COV01-1000002,2018-07-04,,,,,,,,,EXP01-10004,CLM01-1007590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100064,,,,,
COL,,,,COV01-1000001,2018-10-22,,,,,,,,,EXP01-10004,CLM01-1005522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100065,,,,,
COL,,,,COV01-1000001,2018-11-03,,,,,,,,,EXP01-10004,CLM01-1006455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100066,,,,,
COL,,,,COV01-1000002,2018-08-11,,,,,,,,,EXP01-10004,CLM01-1007810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100067,,,,,
PD,,,,COV01-1000001,2018-11-17,,,,,,,,,EXP01-10005,CLM01-1009949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100068,,,,,
PD,,,,COV01-1000003,2018-04-14,,,,,,,,,EXP01-10005,CLM01-1007299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100069,,,,,
BI,,,,COV01-1000002,2018-03-30,,,,,,,,,EXP01-10002,CLM01-1006030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100070,,,,,
PD,,,,COV01-1000002,2018-03-11,,,,,,,,,EXP01-10005,CLM01-1007091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100071,,,,,
BI,,,,COV01-1000002,2018-09-15,,,,,,,,,EXP01-10002,CLM01-1001513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100072,,,,,
BI,,,,COV01-1000002,2018-12-17,,,,,,,,,EXP01-10002,CLM01-1001415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100073,,,,,
COMP,,,,COV01-1000002,2018-08-22,,,,,,,,,EXP01-10003,CLM01-1008649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100074,,,,,
COMP,,,,COV01-1000001,2018-07-02,,,,,,,,,EXP01-10003,CLM01-1006704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100075,,,,,
BI,,,,COV01-1000002,2018-07-27,,,,,,,,,EXP01-10002,CLM01-1007310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100076,,,,,
BI,,,,COV01-1000001,2019-01-13,,,,,,,,,EXP01-10002,CLM01-1005837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100077,,,,,
BI,,,,COV01-1000002,2018-07-29,,,,,,,,,EXP01-10002,CLM01-1000079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100078,,,,,
BI,,,,COV01-1000002,2018-05-04,,,,,,,,,EXP01-10002,CLM01-1004632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100079,,,,,
PD,,,,COV01-1000002,2018-06-15,,,,,,,,,EXP01-10005,CLM01-1000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100080,,,,,
COMP,,,,COV01-1000002,2018-06-25,,,,,,,,,EXP01-10003,CLM01-1003000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100081,,,,,
BI,,,,COV01-1000001,2018-12-22,,,,,,,,,EXP01-10002,CLM01-1006375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100082,,,,,
GLASS,,,,COV01-1000002,2018-08-31,,,,,,,,,EXP01-10001,CLM01-1004176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100083,,,,,
