,exposure_id,exp_createdate,exp_claim_id,exp_lossparty,exp_coverage_id,exp_incident_id,exp_vehicle_id,exp_group,exp_type,exp_closedate,exp_status,exp_resolution
24,EXP01-10001,23-02-2018,CLM01-1001303,Thirdparty,COV01-1000001,INC01-100024,5BC4AD550E2643DB,Fire/Theft,GLASS,04-03-2018,Closed,Rejected
25,EXP01-10004,26-02-2018,CLM01-1004977,Thirdparty,COV01-1000001,INC01-100025,7159DFFF6CF84AE6,Injury,COL,,Open,Closed without payment
26,EXP01-10002,18-05-2018,CLM01-1005158,Insured,COV01-1000002,INC01-100026,62E94048AB034B8A,houseowners compound,BI,15-06-2018,Closed,Duplicate
27,EXP01-10005,07-12-2018,CLM01-1003023,Insured,COV01-1000001,INC01-100027,5B8DBED4C0C442C4,Total Loss,PD,,Open,Closed without payment
28,EXP01-10005,07-09-2018,CLM01-1005688,Insured,COV01-1000002,INC01-100028,99458CDF98F9495F,Fire/Theft,PD,,Open,Closed without payment
29,EXP01-10005,31-03-2018,CLM01-1010638,Insured,COV01-1000002,INC01-100029,38AC0F6DFD6949C0,Total Loss,PD,02-05-2018,Closed,Closed without payment
30,EXP01-10001,01-04-2018,CLM01-1008245,Thirdparty,COV01-1000002,INC01-100030,0BC3A46DADD64606,Glass,GLASS,07-04-2018,Closed,Closed with payments
31,EXP01-10004,25-01-2018,CLM01-1002093,Insured,COV01-1000001,INC01-100031,6D854DAA120642D0,FastTrack,COL,24-02-2018,Closed,Closed with payments
32,EXP01-10005,29-01-2019,CLM01-1001312,Insured,COV01-1000002,INC01-100032,9A4D5FFF32CB4833,Injury-Compound,PD,,Open,Rejected
33,EXP01-10003,12-02-2018,CLM01-1001754,Thirdparty,COV01-1000001,INC01-100033,6661C5E293B84D21,Glass,COMP,10-03-2018,Closed,Reported in siu
34,EXP01-10001,30-06-2018,CLM01-1006381,Insured,COV01-1000002,INC01-100034,F67AD5DCEDD0425A,Fire/Theft,GLASS,,Open,Closed without payment
35,EXP01-10003,07-02-2018,CLM01-1001624,Insured,COV01-1000001,INC01-100035,61E171CB7E1E43F7,Physical,COMP,09-03-2018,Closed,Rejected
36,EXP01-10001,17-01-2019,CLM01-1009185,Insured,COV01-1000002,INC01-100036,A947B35E7C744C97,Salvage,GLASS,25-01-2019,Closed,Reported in siu
37,EXP01-10002,22-02-2018,CLM01-1006401,Thirdparty,COV01-1000001,INC01-100037,1590515A05DE4133,Glass,BI,,Open,Duplicate
38,EXP01-10001,22-05-2018,CLM01-1006725,Thirdparty,COV01-1000001,INC01-100038,E03966D8BAF04601,Analyst Vendor IPD,GLASS,03-06-2018,Closed,Reported in siu
39,EXP01-10002,05-03-2018,CLM01-1000161,Thirdparty,COV01-1000002,INC01-100039,C98B99F71A4D465B,Medical Claims,BI,,Open,Rejected
40,EXP01-10003,12-09-2018,CLM01-1004628,Insured,COV01-1000001,INC01-100040,AC30A22EB1E04532,Tow,COMP,15-10-2018,Closed,Rejected
41,EXP01-10005,17-06-2018,CLM01-1001187,Thirdparty,COV01-1000002,INC01-100041,D3D8742EFD1D41C6,Glass,PD,15-07-2018,Closed,Rejected
42,EXP01-10004,11-04-2018,CLM01-1002515,Insured,COV01-1000001,INC01-100042,2DBDB29587BA4B4C,Physical,COL,12-05-2018,Closed,Duplicate
43,EXP01-10004,30-08-2018,CLM01-1006475,Thirdparty,COV01-1000001,INC01-100043,03373E77B4474680,Physical,COL,27-09-2018,Closed,Duplicate
44,EXP01-10001,15-09-2018,CLM01-1006161,Insured,COV01-1000001,INC01-100044,A857762E841D4CA0,FastTrack,GLASS,23-09-2018,Closed,Duplicate
45,EXP01-10005,19-07-2018,CLM01-1001160,Insured,COV01-1000001,INC01-100045,595191D04C054295,Medical Claims,PD,16-08-2018,Closed,Reported in siu
46,EXP01-10003,28-12-2018,CLM01-1002136,Insured,COV01-1000002,INC01-100046,E49570FE042640DB,Fire/Theft,COMP,27-01-2019,Closed,Rejected
47,EXP01-10005,26-10-2018,CLM01-1005949,Thirdparty,COV01-1000001,INC01-100047,54EC2641DB464CA3,houseowners Low Compound,PD,,Open,Closed with payments
48,EXP01-10002,05-06-2018,CLM01-1000711,Insured,COV01-1000002,INC01-100048,FEAC8F38FBF442DA,Injury-Compound,BI,,Open,Duplicate
49,EXP01-10004,03-10-2018,CLM01-1006658,Thirdparty,COV01-1000001,INC01-100049,75FB2DE72AC040A5,Salvage,COL,,Open,Closed without payment
50,EXP01-10005,06-02-2018,CLM01-1010786,Thirdparty,COV01-1000001,INC01-100050,8E9227C82C3F421C,Injury-Compound,PD,07-03-2018,Closed,Rejected
51,EXP01-10002,20-02-2018,CLM01-1006911,Thirdparty,COV01-1000001,INC01-100051,CA3AAB0016F848E0,houseowners compound,BI,20-03-2018,Closed,Closed with payments
52,EXP01-10001,09-12-2018,CLM01-1007684,Insured,COV01-1000002,INC01-100052,5AC4B27E3CE14876,Physical,GLASS,,Open,Duplicate
53,EXP01-10001,03-06-2018,CLM01-1000492,Insured,COV01-1000001,INC01-100053,0D7AF88661E248AE,houseowners Low Compound,GLASS,11-06-2018,Closed,Rejected
54,EXP01-10003,10-04-2018,CLM01-1002993,Insured,COV01-1000001,INC01-100054,330A300C5D8F4EB5,Analyst Vendor IPD,COMP,08-05-2018,Closed,Closed without payment
55,EXP01-10002,27-08-2018,CLM01-1008426,Insured,COV01-1000002,INC01-100055,08A5005E986F4A53,Subrogation,BI,24-09-2018,Closed,Closed without payment
56,EXP01-10001,12-12-2018,CLM01-1010641,Insured,COV01-1000001,INC01-100056,0184DF27E1A94A02,Total Loss,GLASS,,Open,Rejected
57,EXP01-10002,25-11-2018,CLM01-1004233,Thirdparty,COV01-1000002,INC01-100057,AE29D74443874253,Total Loss,BI,,Open,Reported in siu
58,EXP01-10003,25-10-2018,CLM01-1007835,Insured,COV01-1000001,INC01-100058,B2045A7705C8497A,houseowners Low Compound,COMP,,Open,Closed with payments
59,EXP01-10004,26-07-2018,CLM01-1006859,Insured,COV01-1000002,INC01-100059,48A5D7AEC2114350,Injury-Compound,COL,25-08-2018,Closed,Duplicate
60,EXP01-10005,26-03-2018,CLM01-1000904,Thirdparty,COV01-1000002,INC01-100060,B6455953635D4252,Salvage,PD,23-04-2018,Closed,Closed with payments
61,EXP01-10004,06-10-2018,CLM01-1006237,Insured,COV01-1000002,INC01-100061,1B611C6D47F8422D,General,COL,,Open,Closed with payments
62,EXP01-10003,15-08-2018,CLM01-1006602,Thirdparty,COV01-1000001,INC01-100062,03103B817B834075,houseowners compound,COMP,10-09-2018,Closed,Duplicate
63,EXP01-10001,09-01-2019,CLM01-1008643,Thirdparty,COV01-1000002,INC01-100063,B1820DB0577F4930,Medical Claims,GLASS,18-01-2019,Closed,Closed without payment
64,EXP01-10001,13-09-2018,CLM01-1007278,Thirdparty,COV01-1000002,INC01-100064,6AAAC3DB7D4F4DB3,FastTrack,GLASS,23-09-2018,Closed,Rejected
65,EXP01-10003,23-11-2018,CLM01-1000978,Thirdparty,COV01-1000001,INC01-100065,4B6B38E906FF452F,Injury,COMP,,Open,Duplicate
66,EXP01-10003,01-02-2018,CLM01-1008050,Thirdparty,COV01-1000001,INC01-100066,18606C4B977B4E67,Injury-Compound,COMP,03-03-2018,Closed,Duplicate
67,EXP01-10003,03-10-2018,CLM01-1004521,Insured,COV01-1000001,INC01-100067,40CDB2DD779D4A1B,Medical Claims,COMP,29-10-2018,Closed,Rejected
68,EXP01-10001,23-07-2018,CLM01-1008346,Thirdparty,COV01-1000001,INC01-100068,BED6151821B84E90,houseowners Low Compound,GLASS,31-07-2018,Closed,Rejected
69,EXP01-10005,14-10-2018,CLM01-1009625,Insured,COV01-1000001,INC01-100069,A272298D70094529,Salvage,PD,,Open,Reported in siu
70,EXP01-10001,18-05-2018,CLM01-1003054,Insured,COV01-1000002,INC01-100070,4D071D79BB2841C7,Medical Claims,GLASS,26-05-2018,Closed,Closed without payment
71,EXP01-10004,26-03-2018,CLM01-1004650,Insured,COV01-1000001,INC01-100071,E08FDE0748064CF8,houseowners Low Compound,COL,,Open,Closed with payments
72,EXP01-10003,13-12-2018,CLM01-1001428,Insured,COV01-1000002,INC01-100072,22F1BA84BB2349DF,FastTrack,COMP,,Open,Rejected
73,EXP01-10004,31-12-2018,CLM01-1006003,Thirdparty,COV01-1000002,INC01-100073,40E18123D8C84B0A,Glass,COL,,Open,Rejected
74,EXP01-10004,20-06-2018,CLM01-1004779,Thirdparty,COV01-1000002,INC01-100074,A1D558377AD54E0B,General,COL,19-07-2018,Closed,Duplicate
75,EXP01-10003,11-05-2018,CLM01-1007516,Insured,COV01-1000002,INC01-100075,66BB3B653D0040F8,Analyst Vendor IPD,COMP,06-06-2018,Closed,Closed with payments
76,EXP01-10001,20-05-2018,CLM01-1004995,Thirdparty,COV01-1000002,INC01-100076,BF6CA832D80844C8,Injury-Compound,GLASS,01-06-2018,Closed,Closed with payments
77,EXP01-10001,04-05-2018,CLM01-1004099,Insured,COV01-1000001,INC01-100077,110B8F54A9334586,Total Loss,GLASS,,Open,Closed with payments
78,EXP01-10003,09-02-2018,CLM01-1009167,Insured,COV01-1000002,INC01-100078,313AEF0CE0D143CD,houseowners compound,COMP,09-03-2018,Closed,Closed with payments
79,EXP01-10003,10-08-2018,CLM01-1002676,Insured,COV01-1000001,INC01-100079,5E0FD929082E462E,Glass,COMP,10-09-2018,Closed,Rejected
80,EXP01-10004,22-04-2018,CLM01-1002403,Insured,COV01-1000002,INC01-100080,CBE5D07FD67C406B,Subrogation,COL,,Open,Closed with payments
81,EXP01-10003,25-03-2018,CLM01-1000571,Thirdparty,COV01-1000001,INC01-100081,2CC3F63000564313,Subrogation,COMP,24-04-2018,Closed,Closed with payments
82,EXP01-10002,28-11-2018,CLM01-1001436,Insured,COV01-1000002,INC01-100082,2CF99D9579EA45B4,Salvage,BI,,Open,Duplicate
83,EXP01-10002,08-10-2018,CLM01-1008619,Thirdparty,COV01-1000001,INC01-100083,B3EB1AEA36714AE4,Analyst Vendor IPD,BI,,Open,Reported in siu
84,EXP01-10001,12-09-2018,CLM01-1006971,Insured,COV01-1000001,INC01-100084,F9A6DEEAC9144A8C,Salvage,GLASS,21-09-2018,Closed,Reported in siu
85,EXP01-10003,28-07-2018,CLM01-1005251,Insured,COV01-1000002,INC01-100085,82E275C1E2CF4B60,Injury-Compound,COMP,22-08-2018,Closed,Closed with payments
86,EXP01-10001,15-07-2018,CLM01-1000922,Thirdparty,COV01-1000002,INC01-100086,6DCD1439ACB747E4,Medical Claims,GLASS,29-07-2018,Closed,Duplicate
87,EXP01-10002,08-10-2018,CLM01-1003222,Insured,COV01-1000002,INC01-100087,DA8BC53C2F2C46E0,Glass,BI,,Open,Rejected
88,EXP01-10002,29-01-2019,CLM01-1003850,Thirdparty,COV01-1000002,INC01-100088,25A75AA607C8456B,Subrogation,BI,,Open,Closed with payments
89,EXP01-10002,04-02-2019,CLM01-1000101,Insured,COV01-1000001,INC01-100089,EBDD913F49814086,Glass,BI,,Open,Closed with payments
90,EXP01-10005,05-01-2018,CLM01-1005178,Insured,COV01-1000001,INC01-100090,D4606B90F0134DFF,Medical Claims,PD,,Open,Closed with payments
91,EXP01-10003,28-04-2018,CLM01-1010375,Insured,COV01-1000001,INC01-100091,7DBF1A3C04AE4547,Analyst Vendor IPD,COMP,20-05-2018,Closed,Closed without payment
92,EXP01-10004,23-11-2018,CLM01-1010745,Insured,COV01-1000001,INC01-100092,DCA4F0E872234B4E,houseowners compound,COL,,Open,Closed without payment
93,EXP01-10005,13-07-2018,CLM01-1009784,Thirdparty,COV01-1000001,INC01-100093,6D46B55A46DB468C,Fire/Theft,PD,13-08-2018,Closed,Rejected
94,EXP01-10004,22-07-2018,CLM01-1009809,Thirdparty,COV01-1000002,INC01-100094,AB2F6C9089B04F89,Analyst Vendor IPD,COL,20-08-2018,Closed,Duplicate
95,EXP01-10004,14-07-2018,CLM01-1000965,Thirdparty,COV01-1000001,INC01-100095,37B0F05A41E746F4,Physical,COL,,Open,Reported in siu
96,EXP01-10005,04-07-2018,CLM01-1002018,Thirdparty,COV01-1000001,INC01-100096,E913234EA7B94F2A,Analyst Vendor IPD,PD,03-08-2018,Closed,Rejected
97,EXP01-10003,10-10-2018,CLM01-1002863,Thirdparty,COV01-1000002,INC01-100097,99DBBBFA94E5432A,Tow,COMP,,Open,Duplicate
98,EXP01-10001,16-11-2018,CLM01-1005294,Insured,COV01-1000001,INC01-100098,18DE9EE5FA6945AB,Total Loss,GLASS,,Open,Rejected
99,EXP01-10001,22-01-2019,CLM01-1005068,Insured,COV01-1000001,INC01-100099,FFB09AB4B2E64569,Injury-Compound,GLASS,,Open,Closed with payments
100,EXP01-10004,14-12-2018,CLM01-1005702,Insured,COV01-1000002,INC01-100100,D21CD769679A4103,houseowners compound,COL,,Open,Duplicate
101,EXP01-10004,02-04-2018,CLM01-1009018,Thirdparty,COV01-1000002,INC01-100101,54088AEF8CF043D7,Injury,COL,,Open,Rejected
102,EXP01-10004,14-03-2018,CLM01-1001489,Insured,COV01-1000002,INC01-100102,764AC4055BD4485C,Fire/Theft,COL,09-04-2018,Closed,Closed without payment
103,EXP01-10004,31-10-2018,CLM01-1002487,Insured,COV01-1000001,INC01-100103,C9CB2F60946D463E,Analyst Vendor IPD,COL,,Open,Closed with payments
104,EXP01-10005,26-12-2018,CLM01-1007856,Thirdparty,COV01-1000002,INC01-100104,B5C9F83666E04D0E,Injury,PD,,Open,Closed with payments
105,EXP01-10004,07-04-2018,CLM01-1008290,Insured,COV01-1000001,INC01-100105,C8243403000D43DA,Analyst Vendor IPD,COL,,Open,Closed with payments
106,EXP01-10005,11-09-2018,CLM01-1010064,Insured,COV01-1000001,INC01-100106,5828160F14EE4509,Subrogation,PD,08-10-2018,Closed,Reported in siu
107,EXP01-10003,09-10-2018,CLM01-1000689,Thirdparty,COV01-1000002,INC01-100107,5077DF4A916A413E,Physical,COMP,,Open,Closed without payment
108,EXP01-10003,03-07-2018,CLM01-1008744,Insured,COV01-1000002,INC01-100108,FD0776A1AA51433B,Injury-Compound,COMP,28-07-2018,Closed,Closed without payment
109,EXP01-10005,31-10-2018,CLM01-1007390,Thirdparty,COV01-1000002,INC01-100109,0708AA7221F24DCE,Total Loss,PD,,Open,Duplicate
110,EXP01-10004,20-01-2018,CLM01-1009349,Insured,COV01-1000001,INC01-100110,7382FBAFBA22428B,Injury,COL,16-02-2018,Closed,Closed without payment
111,EXP01-10002,08-08-2018,CLM01-1005276,Thirdparty,COV01-1000002,INC01-100111,E40D416414B346C2,Injury,BI,08-09-2018,Closed,Rejected
112,EXP01-10001,16-10-2018,CLM01-1007990,Insured,COV01-1000002,INC01-100112,EF9FD9CAB528475D,houseowners Low Compound,GLASS,,Open,Duplicate
113,EXP01-10004,27-07-2018,CLM01-1000927,Insured,COV01-1000002,INC01-100113,A754F3DE18134F42,Total Loss,COL,28-08-2018,Closed,Closed without payment
114,EXP01-10004,28-05-2018,CLM01-1002246,Thirdparty,COV01-1000002,INC01-100114,396A2B7620F24F25,Injury,COL,26-06-2018,Closed,Duplicate
115,EXP01-10005,24-08-2018,CLM01-1003534,Thirdparty,COV01-1000002,INC01-100115,D336D5F924CE4126,Fire/Theft,PD,21-09-2018,Closed,Rejected
116,EXP01-10003,15-02-2018,CLM01-1001801,Thirdparty,COV01-1000002,INC01-100116,E3A1DBBDE53F4927,Tow,COMP,,Open,Rejected
117,EXP01-10004,23-05-2018,CLM01-1001393,Insured,COV01-1000002,INC01-100117,D2166AC041A3467B,Analyst Vendor IPD,COL,19-06-2018,Closed,Duplicate
118,EXP01-10002,07-08-2018,CLM01-1010471,Thirdparty,COV01-1000002,INC01-100118,6812E768960B4E51,Tow,BI,08-09-2018,Closed,Closed without payment
119,EXP01-10005,27-01-2018,CLM01-1003078,Thirdparty,COV01-1000001,INC01-100119,0B5874A773024529,Injury-Compound,PD,25-02-2018,Closed,Closed without payment
120,EXP01-10002,12-01-2018,CLM01-1010383,Insured,COV01-1000001,INC01-100120,844C90AE4A47422C,Fire/Theft,BI,07-02-2018,Closed,Duplicate
121,EXP01-10004,30-01-2018,CLM01-1010350,Insured,COV01-1000001,INC01-100121,24BCF4C436F04EBF,Subrogation,COL,,Open,Closed without payment
122,EXP01-10001,19-12-2018,CLM01-1002032,Insured,COV01-1000002,INC01-100122,75B44B4D10F441FE,Medical Claims,GLASS,,Open,Closed with payments
123,EXP01-10002,08-02-2019,CLM01-1005256,Insured,COV01-1000002,INC01-100123,A7F14DE4D8AF445B,General,BI,,Open,Reported in siu
124,EXP01-10001,31-01-2018,CLM01-1004393,Thirdparty,COV01-1000001,INC01-100124,3FB25ED70E6B4D48,Salvage,GLASS,,Open,Reported in siu
125,EXP01-10002,07-07-2018,CLM01-1010892,Insured,COV01-1000002,INC01-100125,F73B68E7879949AD,Injury,BI,04-08-2018,Closed,Duplicate
126,EXP01-10005,05-01-2019,CLM01-1010887,Thirdparty,COV01-1000001,INC01-100126,9CF6604C7AC14EF4,Subrogation,PD,,Open,Rejected
127,EXP01-10004,07-12-2018,CLM01-1005073,Thirdparty,COV01-1000002,INC01-100127,992DD10DB6014984,Fire/Theft,COL,,Open,Closed with payments
128,EXP01-10001,20-12-2018,CLM01-1000396,Insured,COV01-1000002,INC01-100128,5EE9E4C19AB5401A,General,GLASS,,Open,Closed with payments
129,EXP01-10005,02-11-2018,CLM01-1002767,Thirdparty,COV01-1000002,INC01-100129,C2B2A147EF794835,Medical Claims,PD,28-11-2018,Closed,Duplicate
130,EXP01-10005,02-08-2018,CLM01-1003153,Insured,COV01-1000001,INC01-100130,C5D2B33478824E95,Fire/Theft,PD,30-08-2018,Closed,Duplicate
131,EXP01-10001,30-04-2018,CLM01-1009231,Insured,COV01-1000002,INC01-100131,ED058BE81D794CC2,Fire/Theft,GLASS,06-05-2018,Closed,Closed with payments
132,EXP01-10001,31-10-2018,CLM01-1003724,Thirdparty,COV01-1000001,INC01-100132,B59D7F0C08834A58,Total Loss,GLASS,07-11-2018,Closed,Rejected
133,EXP01-10003,19-12-2018,CLM01-1006054,Insured,COV01-1000002,INC01-100133,9BA83AEC901645F7,Injury,COMP,14-01-2019,Closed,Closed without payment
134,EXP01-10003,17-10-2018,CLM01-1008341,Insured,COV01-1000001,INC01-100134,4FA228F8B8C849BF,Subrogation,COMP,,Open,Reported in siu
135,EXP01-10005,01-09-2018,CLM01-1002423,Insured,COV01-1000002,INC01-100135,6E8E293CF6084DA7,houseowners Low Compound,PD,26-09-2018,Closed,Duplicate
136,EXP01-10001,30-05-2018,CLM01-1000091,Thirdparty,COV01-1000001,INC01-100136,DFBA414AFE5A4CB5,Medical Claims,GLASS,,Open,Closed without payment
137,EXP01-10003,28-01-2019,CLM01-1009444,Thirdparty,COV01-1000001,INC01-100137,7CEDB62E6CB1497E,Fire/Theft,COMP,,Open,Reported in siu
138,EXP01-10005,27-06-2018,CLM01-1008969,Insured,COV01-1000002,INC01-100138,46E204C1A3234382,Total Loss,PD,,Open,Closed with payments
139,EXP01-10002,19-10-2018,CLM01-1007288,Insured,COV01-1000002,INC01-100139,5152CE5548F64FEB,Physical,BI,13-11-2018,Closed,Closed without payment
140,EXP01-10001,20-06-2018,CLM01-1010382,Thirdparty,COV01-1000001,INC01-100140,D247DDCC595B43E5,General,GLASS,03-07-2018,Closed,Duplicate
141,EXP01-10005,26-02-2018,CLM01-1002591,Insured,COV01-1000001,INC01-100141,889AB55403834290,Injury-Compound,PD,30-03-2018,Closed,Reported in siu
142,EXP01-10005,19-04-2018,CLM01-1010143,Insured,COV01-1000001,INC01-100142,92D225BA976E4DF7,FastTrack,PD,,Open,Reported in siu
143,EXP01-10001,16-05-2018,CLM01-1003865,Thirdparty,COV01-1000002,INC01-100143,B74AFD3220794FDB,Injury-Compound,GLASS,24-05-2018,Closed,Closed with payments
144,EXP01-10003,11-06-2018,CLM01-1004349,Insured,COV01-1000002,INC01-100144,A7B0AD8BABF24E66,Glass,COMP,09-07-2018,Closed,Reported in siu
145,EXP01-10005,25-04-2018,CLM01-1004856,Insured,COV01-1000002,INC01-100145,D0C3CED5E5D444D7,Total Loss,PD,24-05-2018,Closed,Reported in siu
146,EXP01-10003,27-02-2018,CLM01-1007220,Thirdparty,COV01-1000002,INC01-100146,60C40BE871554DEC,Tow,COMP,29-03-2018,Closed,Reported in siu
147,EXP01-10001,22-04-2018,CLM01-1008730,Insured,COV01-1000001,INC01-100147,EBFA80818A4140B1,Analyst Vendor IPD,GLASS,01-05-2018,Closed,Duplicate
148,EXP01-10005,26-07-2018,CLM01-1000523,Thirdparty,COV01-1000002,INC01-100148,288FD39485F943B6,Tow,PD,,Open,Closed with payments
149,EXP01-10002,24-07-2018,CLM01-1000685,Insured,COV01-1000002,INC01-100149,FFB9BBA3EDE242E4,Medical Claims,BI,,Open,Duplicate
150,EXP01-10003,08-03-2018,CLM01-1006818,Insured,COV01-1000002,INC01-100150,8CD5C0C97CEA49A6,FastTrack,COMP,03-04-2018,Closed,Duplicate
151,EXP01-10003,30-07-2018,CLM01-1008346,Insured,COV01-1000001,INC01-100151,D5E21FF3B03B4E33,Analyst Vendor IPD,COMP,30-08-2018,Closed,Closed without payment
152,EXP01-10002,03-07-2018,CLM01-1001157,Insured,COV01-1000001,INC01-100152,09BEB5BA1ACF42B4,Injury-Compound,BI,,Open,Rejected
153,EXP01-10001,06-03-2018,CLM01-1007808,Insured,COV01-1000002,INC01-100153,CABBF325F8B44832,Tow,GLASS,15-03-2018,Closed,Duplicate
154,EXP01-10005,14-01-2018,CLM01-1006204,Insured,COV01-1000002,INC01-100154,D32769928FAC4138,houseowners Low Compound,PD,10-02-2018,Closed,Closed with payments
155,EXP01-10002,10-04-2018,CLM01-1006053,Thirdparty,COV01-1000001,INC01-100155,1C9532A393C446A8,Medical Claims,BI,14-05-2018,Closed,Closed without payment
156,EXP01-10002,02-09-2018,CLM01-1008653,Insured,COV01-1000001,INC01-100156,37785F324CCE4E16,Salvage,BI,03-10-2018,Closed,Reported in siu
157,EXP01-10002,11-06-2018,CLM01-1004997,Thirdparty,COV01-1000002,INC01-100157,02542668150B4941,General,BI,11-07-2018,Closed,Reported in siu
158,EXP01-10005,28-10-2018,CLM01-1007390,Insured,COV01-1000002,INC01-100158,3FCF3DC45A76488C,Total Loss,PD,,Open,Duplicate
159,EXP01-10004,14-04-2018,CLM01-1001119,Insured,COV01-1000001,INC01-100159,37F441802270468F,Medical Claims,COL,13-05-2018,Closed,Closed without payment
160,EXP01-10004,09-01-2019,CLM01-1006568,Thirdparty,COV01-1000002,INC01-100160,6C72023B1A924B33,Medical Claims,COL,,Open,Closed without payment
161,EXP01-10005,26-10-2018,CLM01-1004023,Thirdparty,COV01-1000002,INC01-100161,7526CB0EC7B044F9,Total Loss,PD,,Open,Closed with payments
162,EXP01-10005,11-06-2018,CLM01-1002652,Thirdparty,COV01-1000002,INC01-100162,B0A0538865B14747,Medical Claims,PD,09-07-2018,Closed,Reported in siu
163,EXP01-10001,12-06-2018,CLM01-1008585,Thirdparty,COV01-1000002,INC01-100163,CE772074724F4590,Subrogation,GLASS,18-06-2018,Closed,Rejected
164,EXP01-10004,04-01-2018,CLM01-1005971,Thirdparty,COV01-1000002,INC01-100164,749C8515752244BE,Salvage,COL,08-02-2018,Closed,Closed with payments
165,EXP01-10004,16-10-2018,CLM01-1002353,Insured,COV01-1000002,INC01-100165,22E6E384474A45D1,Medical Claims,COL,11-11-2018,Closed,Duplicate
